"version_id","dt","new_friend","friend_request","message","meet_me","chat","pets_old","pets_bought_pet","pets_bought_you","photo_comment","meet_me_yes","on_boarding_onb1","on_boarding_onb2","on_boarding_onb3","inactive_rem1","inactive_rem2"
1,"2013-07-23",310985,721331,3376670,339954,108323,1037944,20730,18153,86416,1262244,1,0,0,61,25
1,"2013-07-24",318618,746679,3655115,347356,118143,1094383,21811,19537,90135,1331419,2,1,0,56,48
1,"2013-07-25",312576,744538,3616626,347879,113168,1106664,22421,20884,89814,1359775,2,2,1,57,41
1,"2013-07-26",289567,715227,3399178,327230,110091,1026743,22616,19582,86917,1242109,0,2,2,50,33
1,"2013-07-27",294471,724534,3392728,326394,108930,1078805,21718,15621,86539,1291200,0,0,0,49,32
1,"2013-07-28",334988,787315,3735065,364086,116996,1152402,25935,17513,97615,1396675,3,0,0,54,28
2,"2013-07-23",16369,35744,174652,17366,5738,42528,1365,10601,4869,62451,40,23,28,142,65
2,"2013-07-24",16785,37948,192770,19054,5931,45493,1568,11377,4949,64889,24,37,22,117,114
2,"2013-07-25",16504,38244,190593,19467,5654,43673,1552,11989,4769,68706,22,22,36,158,78
2,"2013-07-26",15432,36107,172219,18008,5980,43630,1508,8431,4475,62724,32,19,20,114,100
2,"2013-07-27",15815,37473,175558,18059,5853,47339,1309,9765,4637,64854,22,26,19,104,81
2,"2013-07-28",17571,40740,189742,19770,6260,47722,1125,10912,5085,74441,23,20,25,138,76
