"date","android","validation","friend_requests_5m","friend_requests_1hr","msgs_sent"
"2013-07-18",105,14,0,0,26
"2013-07-19",1916,1100,0,0,38
"2013-07-20",5345,3266,0,0,
"2013-07-21",5824,3634,0,0,
"2013-07-22",5777,3440,0,0,21232
"2013-07-23",5668,3419,0,0,32764
"2013-07-24",5595,3318,0,0,29454
"2013-07-25",5342,3102,0,0,19575
"2013-07-26",5219,3118,0,0,49245
"2013-07-27",7644,3200,0,0,35665
"2013-07-28",6412,3467,0,0,25522
"2013-07-29",5820,3373,0,0,7285
"2013-07-30",5736,3299,0,207,33844
"2013-07-31",5760,3395,1452,13222,66111
"2013-08-01",5270,3021,1323,11165,73180
"2013-08-02",5157,2942,1457,11530,53811
"2013-08-03",5840,3220,1776,12708,72167
"2013-08-04",6557,3791,2009,15264,56294
"2013-08-05",6500,3743,1779,14124,25464
"2013-08-06",6303,3535,0,0,3539
"2013-08-07",2821,137,0,0,1195
