"dt","dau_a","dau_b","dau_c"
"2013-05-27",223330,12446,12330
"2013-05-28",228149,12611,12636
"2013-05-29",226486,12590,12541
"2013-05-30",223735,12477,12483
"2013-05-31",218766,12155,12181
"2013-06-01",216256,12054,12050
"2013-06-02",224121,12363,12530
"2013-06-03",227461,12592,12506
"2013-06-04",228028,12703,12691
"2013-06-05",228825,12716,12554
"2013-06-06",225265,12526,12381
"2013-06-07",221639,12328,12255
"2013-06-08",217668,12092,12072
"2013-06-09",225769,12672,12499
"2013-06-10",229163,12802,12678
"2013-06-11",228614,12823,12650
