"timestamp","users","msgs","purchases","uses"
"2013-04-22",103,87521,0,78874
"2013-04-23",72,16492,1,14940
"2013-04-24",53,10295,0,9853
"2013-04-25",40,5014,0,7181
"2013-04-26",44,2035,0,3220
"2013-04-27",36,4389,0,4047
"2013-04-28",30,1546,0,1887
"2013-04-29",42,4913,0,5602
"2013-04-30",26,1923,0,2499
"2013-05-01",36,8937,0,5898
"2013-05-02",38,1895,0,3251
"2013-05-03",1203,10418,1,16386
"2013-05-04",993,14160,489,24152
"2013-05-05",830,14145,0,21501
"2013-05-06",932,9725,0,15279
"2013-05-07",335,6185,0,5841
"2013-05-08",1395,11201,1,19972
"2013-05-09",1343,9565,2,15805
"2013-05-10",1368,8725,0,14674
"2013-05-11",2249,14136,2,23690
"2013-05-12",2289,12353,0,27542
"2013-05-13",2591,31563,0,43016
"2013-05-14",3613,43455,0,71236
"2013-05-15",3280,45003,3,64817
"2013-05-16",3005,28456,2,49393
"2013-05-17",893,11781,0,17230
"2013-05-18",363,6605,0,11612
"2013-05-19",388,5090,0,8912
"2013-05-20",851,6600,0,13440
"2013-05-21",1106,9338,1,15371
"2013-05-22",3396,39740,5,56675
"2013-05-23",3328,37850,1,59499
"2013-05-24",3504,37499,8,55094
"2013-05-25",4495,45481,2,62071
"2013-05-26",4628,62297,7,82717
"2013-05-27",4285,63164,12,88308
"2013-05-28",5049,58924,4,82222
"2013-05-29",5199,42695,2,63482
"2013-05-30",5194,43756,3,66400
"2013-05-31",4649,39416,12,58320
"2013-06-01",4468,43581,0,55108
"2013-06-02",4520,30091,0,53680
"2013-06-03",6713,53424,3,72492
"2013-06-04",10439,64207,13,96380
"2013-06-05",10161,39909,3,74034
"2013-06-06",8808,43874,3,72351
"2013-06-07",9368,48961,0,78669
"2013-06-08",8693,39154,1,65964
"2013-06-09",3515,24152,1,37217
"2013-06-10",3896,24050,9,38759
"2013-06-11",9252,33584,7,60721
"2013-06-12",10133,45756,3,74260
"2013-06-13",11279,43733,8,81082
"2013-06-14",11534,35497,3,69571
"2013-06-15",11618,37597,2,69451
"2013-06-16",11542,35532,0,65369
"2013-06-17",13461,49362,15,85694
"2013-06-18",11695,55057,3,85929
"2013-06-19",8120,37349,0,57999
"2013-06-20",2424,19629,0,25370
"2013-06-21",1008,5781,0,7775
"2013-06-22",645,4430,0,5602
"2013-06-23",597,4559,0,5244
"2013-06-24",896,2267,1,3950
