"timestamp","source_name","users","msgs","purchases","uses"
"2013-04-10","Organic",1,32,0,975
"2013-04-11","Organic",3,57,19.96,671
"2013-04-12","Organic",2,0,0,359
"2013-04-15","Organic",1,22,0,50
"2013-04-16","Organic",3,24,6.99,368
"2013-04-17","Organic",3,9,0,619
"2013-04-18","Organic",3,46,0,586
"2013-04-19","Organic",2,8,0,176
"2013-04-22","Organic",128716,37988337,4648,47667857
"2013-04-23","Organic",112952,23303771,2058,30385027
"2013-04-24","Organic",61145,9136687,727,12206574
"2013-04-25","Organic",54540,8295750,559,10888528
"2013-04-26","Organic",42366,5880192,552,7672437
"2013-04-27","Organic",33965,4247134,261,5558141
"2013-04-28","Organic",32126,3756395,166,4935128
"2013-04-29","Organic",30819,4264012,291,5418450
"2013-04-30","Organic",25728,3175545,185,4112113
"2013-05-01","Organic",25257,3232992,435,4076719
"2013-05-02","Organic",24758,3165825,246,4042613
"2013-05-03","Organic",24029,3057776,279,3926366
"2013-05-04","Organic",23979,2932777,213,3812047
"2013-05-05","Organic",23782,2616876,220,3443073
"2013-05-06","Organic",23685,2599005,186,3326910
"2013-05-07","Organic",22960,2713761,162,3387232
"2013-05-08","Organic",22810,2594497,91,3277487
"2013-05-09","Organic",22304,2366252,141,3089039
"2013-05-10","Organic",21598,2411376,128,3021462
"2013-05-11","Organic",21154,2235156,82,2844306
"2013-05-12","Organic",20950,2073341,33,2636405
"2013-05-13","Organic",20885,2097128,128,2647401
"2013-05-14","Organic",20688,2071183,62,2612803
"2013-05-15","Organic",20339,2096997,140,2662088
"2013-05-16","Organic",20314,2179974,178,2686077
"2013-05-17","Organic",18571,1814663,127,2323450
"2013-05-18","Organic",19414,1831122,100,2321870
"2013-05-19","Organic",19715,1701468,104,2199882
"2013-05-20","Organic",20266,1692570,127,2183192
"2013-05-21","Organic",19865,1689001,152,2188407
"2013-05-22","Organic",19572,1686514,146,2146797
"2013-05-23","Organic",20362,1729276,45,2247809
"2013-05-24","Organic",20309,1747248,155,2290632
"2013-05-25","Organic",18775,1648863,134,2106050
"2013-05-26","Organic",19050,1581456,64,1981070
"2013-05-27","Organic",19163,1459843,24,1883302
"2013-05-28","Organic",19314,1472636,100,1901419
"2013-05-29","Organic",18774,1381871,83,1811360
"2013-05-30","Organic",18720,1331068,136,1729997
"2013-05-31","Organic",18073,1317981,86,1728162
"2013-06-01","Organic",18139,1313568,42,1713233
"2013-06-02","Organic",19654,1224158,85,1580815
"2013-06-03","Organic",17288,1185078,53,1543386
"2013-06-04","Organic",17005,1217506,56,1565039
"2013-06-05","Organic",16689,1131838,39,1432703
"2013-06-06","Organic",16763,1114882,40,1426886
"2013-06-07","Organic",16490,1015038,96,1312337
"2013-06-08","Organic",16281,956992,55,1241538
"2013-06-09","Organic",16466,906675,49,1170575
"2013-06-10","Organic",16784,898328,45,1152057
"2013-06-11","Organic",16406,835647,45,1061825
"2013-06-12","Organic",16267,780439,36,1008410
"2013-06-13","Organic",17504,776206,31,986895
"2013-06-14","Organic",16713,688091,80,874921
"2013-06-15","Organic",15799,577576,60,756911
"2013-06-16","Organic",15907,540520,10,675750
"2013-06-17","Organic",17571,519269,27,674142
"2013-06-18","Organic",18216,485849,30,616717
"2013-06-19","Organic",17752,388402,11,501061
"2013-06-20","Organic",16578,263499,17,353453
"2013-06-21","Organic",12766,163235,13,203245
"2013-06-22","Organic",12301,147405,5,180000
"2013-06-23","Organic",11973,118250,3,143419
"2013-06-24","Organic",12584,92089,2,114221
