"dt","total_users","users_a","user_b","user_c"
"2013-06-04",52310,47033,2593,2684
"2013-06-05",122192,110129,6093,5970
"2013-06-06",138701,124777,7036,6888
"2013-06-07",146896,132243,7425,7228
"2013-06-08",151343,136218,7627,7498
"2013-06-09",163236,146955,8251,8030
"2013-06-10",170956,153899,8575,8482
"2013-06-11",175912,158348,8892,8672
"2013-06-12",177660,159906,8974,8780
"2013-06-13",178684,160881,9051,8752
"2013-06-14",179969,162049,9072,8848
"2013-06-15",180861,162792,9161,8908
"2013-06-16",189713,170773,9602,9338
"2013-06-17",196861,177181,9996,9684
"2013-06-18",189055,170270,9542,9243
"2013-06-19",186643,168029,9435,9179
"2013-06-20",187259,168625,9449,9185
"2013-06-21",183111,164761,9340,9010
"2013-06-22",180266,162334,9033,8899
"2013-06-23",185384,166960,9295,9129
"2013-06-24",186604,168125,9351,9128
