"dt","friendrequests_a","friendrequesters_a","friendrequesters_b","friendrequesters_b","friendrequesters_c","friendrequesters_c"
"2013-06-04",60806,10291,3934,666,3923,629
"2013-06-05",298595,35620,18350,2119,15908,2001
"2013-06-06",363980,41673,21225,2449,21235,2329
"2013-06-07",379019,43661,20777,2443,20001,2340
"2013-06-08",405489,45487,22567,2543,21319,2514
"2013-06-09",467358,50873,24127,2838,24715,2780
"2013-06-10",466452,52673,25040,2901,25191,2870
"2013-06-11",486669,53623,25867,2988,24550,2890
"2013-06-12",484151,54405,26108,3008,26568,2961
"2013-06-13",469018,54216,26302,3029,22965,2864
"2013-06-14",453539,53370,24080,2959,23824,2844
"2013-06-15",464401,53628,26541,2961,24121,2872
"2013-06-16",523034,58064,27685,3229,26111,3148
