"dt","mmclicks_a","mmclicks_a","mmclicks_b","mmclicks_b","mmclicks_c","mmclicks_c"
"2013-06-04",820570,11096,70066,963,59106,899
"2013-06-05",3642032,36405,259249,2734,247393,2488
"2013-06-06",4472760,42124,280161,2932,282027,2753
"2013-06-07",4672057,44066,287731,2923,292498,2746
"2013-06-08",4977906,46149,293032,2973,313590,2870
"2013-06-09",5783823,51564,360465,3296,364993,3226
"2013-06-10",5705473,53174,320257,3405,354072,3300
"2013-06-11",5691249,54046,374567,3453,338560,3340
"2013-06-12",5806998,54924,372648,3486,365267,3350
"2013-06-13",5666717,54861,361624,3478,315270,3255
"2013-06-14",5493493,54451,329364,3441,329297,3299
"2013-06-15",5711945,55817,368511,3533,327461,3294
"2013-06-16",6432431,60182,389399,3772,390372,3552
