"dt","msgs_a","senders_a","msgs_b","senders_b","msgs_c","senders_c"
"2013-06-04",194328,19421,11508,1095,11690,1122
"2013-06-05",1099927,60966,66781,3455,57411,3412
"2013-06-06",1354277,71415,78843,4111,74675,4017
"2013-06-07",1397061,75382,79704,4247,75845,4151
"2013-06-08",1501287,77930,86203,4422,79071,4292
"2013-06-09",1792538,85527,99371,4771,95985,4654
"2013-06-10",1851129,91143,102626,5065,97828,4999
"2013-06-11",1857911,92807,103975,5227,98331,5037
"2013-06-12",1936501,95208,108780,5330,104188,5223
"2013-06-13",1842510,94481,103424,5231,94230,5094
"2013-06-14",1860341,95722,102634,5351,99910,5196
"2013-06-15",1854322,94236,107620,5303,101992,5088
"2013-06-16",2047722,100419,114207,5587,107691,5448
