"dt","pets_a","petters_a","pets_b","petterss_b","pets_c","petters_c"
"2013-06-04",29447,3404,1747,232,1315,210
"2013-06-05",152367,11277,9777,746,7537,687
"2013-06-06",178582,12973,12521,825,9293,801
"2013-06-07",183878,13555,11315,853,10516,783
"2013-06-08",186925,13881,11122,841,9559,873
"2013-06-09",223612,15386,13658,936,11305,868
"2013-06-10",234892,15968,14782,993,12761,924
"2013-06-11",237883,16326,14489,1032,11101,949
"2013-06-12",234168,16616,15539,1038,12362,989
"2013-06-13",241812,16527,15227,997,13736,960
"2013-06-14",221897,16116,15773,999,13035,940
"2013-06-15",220572,16074,15505,1038,14653,919
"2013-06-16",242550,17079,16129,1076,12392,960
