"dt","new_friend","friend_request","message","meet_me","chat","pets_old","pets_bought_pet","pets_bought_you","photo_comment","meet_me_yes","on_boarding_onb1","on_boarding_onb2","on_boarding_onb3","inactive_rem1","inactive_rem2"
"2013-07-03",11,21,50,10,0,27,1,0,6,201,0,0,0,0,0
"2013-07-04",3,19,4,1,1,22,0,0,6,132,0,0,0,0,0
"2013-07-05",3,109,60,29,1,26,0,0,0,473,0,0,0,0,0
"2013-07-06",0,9,2,3,0,0,0,0,0,60,0,0,0,0,0
"2013-07-07",0,7,5,5,0,0,0,0,0,83,0,0,0,0,0
"2013-07-08",2,50,16,11,3,3,0,0,0,439,0,0,0,0,0
"2013-07-09",2,257,72,22,2,4,0,0,0,942,0,0,0,0,0
"2013-07-10",0,125,43,20,5,6,0,0,0,628,0,0,0,0,0
"2013-07-11",304,817,2876,393,8,467,26,10,96,1374,0,0,0,0,0
"2013-07-12",84419,155681,877766,85257,1970,170780,6417,4670,18913,256768,0,0,0,0,0
"2013-07-13",120553,228010,1262252,122719,2915,260348,9944,5519,29613,364385,0,0,0,0,0
"2013-07-14",152422,279819,1423105,155326,4406,312699,11316,8074,34812,452479,0,0,0,0,0
"2013-07-15",159949,304728,1782961,157850,4479,345749,12599,6443,40103,497132,0,0,0,0,0
"2013-07-16",162282,320924,1796846,168365,4734,356606,13325,6363,41306,508749,0,0,0,9,0
"2013-07-17",167193,333913,1834285,172378,4802,386869,12759,7888,43069,536477,0,0,0,17,6
"2013-07-18",165340,339363,1867871,175696,4917,378871,13407,5963,43323,538492,0,0,0,17,11
"2013-07-19",154995,327880,1787385,164654,5105,374652,12442,6813,40876,505381,0,0,0,26,7
"2013-07-20",155977,341474,1824915,168076,5426,398830,14481,6309,41506,532525,0,0,0,25,16
"2013-07-21",186808,378355,2069942,195863,5757,425743,14969,7972,50502,624240,1,0,0,23,14
"2013-07-22",197116,392483,2144076,199815,6296,433528,15779,7514,52084,636186,0,0,0,22,16
"2013-07-23",195602,396809,2156914,203347,6775,485266,20465,6752,51188,662352,0,0,0,27,15
"2013-07-24",198492,395134,2167030,211728,6528,501921,18020,8241,49471,634012,0,0,0,30,18
