"dt","new_friend","friend_request","message","meet_me","chat","pets_old","pets_bought_pet","pets_bought_you","photo_comment","meet_me_yes","on_boarding_onb1","on_boarding_onb2","on_boarding_onb3","inactive_rem1","inactive_rem2"
"2013-07-11",21,35,134,4,1,16,0,1,17,28,0,0,0,0,0
"2013-07-12",4457,8524,46867,4474,85,7447,688,1565,1114,14631,0,0,0,0,0
"2013-07-13",6497,13270,67096,7747,181,11540,734,2320,1598,21147,0,0,0,0,0
"2013-07-14",7694,16077,76820,9094,218,15122,1395,2167,2025,24562,0,0,0,0,0
"2013-07-15",8564,17367,98234,8762,224,17268,1754,2790,2779,27017,3,0,0,13,0
"2013-07-16",8615,17110,95811,10194,235,17548,1870,2224,2417,24652,5,0,0,20,0
"2013-07-17",9035,18499,97035,9439,307,15675,1416,4272,2310,26979,15,4,0,40,15
"2013-07-18",9281,19197,98488,10114,314,15963,1397,1948,2338,28561,9,15,3,56,24
"2013-07-19",8760,17884,99465,9300,247,16836,1462,2807,2418,26835,22,8,15,57,39
"2013-07-20",8980,18949,102572,9558,284,18420,1010,2095,2443,26707,7,20,8,67,46
"2013-07-21",10110,21544,110908,10937,391,18044,1273,3178,3120,33209,9,5,20,67,47
"2013-07-22",10140,22999,116293,11041,289,21373,1572,5598,3405,35450,6,7,4,60,49
"2013-07-23",9923,21770,115698,10388,327,22513,2046,3083,3205,34600,18,5,7,65,45
"2013-07-24",10589,21039,115368,10679,294,25209,1779,4617,2920,34379,8,17,5,76,48
