"dt","count"
"2013-05-27",3287917
"2013-05-28",3237668
"2013-05-29",3026279
"2013-05-30",2889785
"2013-05-31",2612218
"2013-06-01",2627284
"2013-06-02",2995214
"2013-06-03",2972476
"2013-06-04",2817002
"2013-06-05",2831575
"2013-06-06",2817629
"2013-06-07",2697044
"2013-06-08",2720223
"2013-06-09",3100315
"2013-06-10",3098355
"2013-06-11",3031659
"2013-06-12",3104715
"2013-06-13",2955392
"2013-06-14",2915175
"2013-06-15",2861395
"2013-06-16",3186282
"2013-06-17",3301549
"2013-06-18",2869855
"2013-06-19",3397141
"2013-06-20",3090826
"2013-06-21",3032550
"2013-06-22",3056286
"2013-06-23",3426864
"2013-06-24",3498094
"2013-06-25",3221526
"2013-06-26",3226199
"2013-06-27",3187700
"2013-06-28",2946022
"2013-06-29",2793728
