"dt","friendrequests_a","friendrequesters_a","friendrequesters_b","friendrequesters_b","friendrequesters_c","friendrequesters_c"
"2013-06-11",644788,74848,35695,4203,34555,4157
"2013-06-01",593507,69157,34696,3883,31870,3802
"2013-06-07",606225,70694,32399,3958,31976,3828
"2013-06-06",628299,72926,35834,4182,36486,4094
"2013-06-10",661885,75954,35157,4225,36009,4143
"2013-06-08",609544,70089,33871,3912,32409,3915
"2013-05-29",664849,75540,36135,4169,36525,4157
"2013-05-27",698084,76577,38038,4294,39966,4212
"2013-05-30",634010,73785,35916,4143,36065,4067
"2013-06-09",674923,75552,35765,4265,37611,4233
"2013-05-31",583591,69472,31263,3807,31029,3849
"2013-06-03",663917,74781,34261,4133,36193,4096
"2013-06-05",625292,74009,35121,4239,33941,4173
"2013-06-04",638685,74803,35631,4257,36983,4276
"2013-05-28",696441,77304,38635,4209,40075,4282
"2013-06-02",676691,74549,36959,4146,39408,4169
