"dt","mmclicks_a","mmclickers_a","mmclicks_b","mmclickers_b","mmclicks_c","mmclickers_c"
"2013-05-29",7753911,75449,420065,4164,472488,4341
"2013-06-04",7301493,75719,430603,4494,458724,4516
"2013-06-11",7502215,75317,480758,4617,450635,4568
"2013-06-08",7284092,70775,425524,4333,446326,4303
"2013-06-07",7215321,71211,448142,4430,426760,4299
"2013-06-01",7063786,70256,387503,3887,428631,3947
"2013-06-05",7283139,75533,469945,4970,453674,4676
"2013-05-30",7466229,73975,413377,4087,437996,4211
"2013-06-09",8143155,76055,492316,4650,509717,4687
"2013-06-03",7758873,75166,421187,4171,428258,4210
"2013-06-10",7869935,76353,437183,4712,457581,4580
"2013-05-27",8354179,76091,448926,4155,456439,4238
"2013-06-02",7854045,75087,435682,4113,454414,4247
"2013-05-31",6893667,69837,389442,3827,388334,3975
"2013-06-06",7423549,73551,440895,4631,451947,4544
"2013-05-28",8058459,76773,443922,4264,452434,4308
