"dt","msgs_a","senders_a","msgs_b","senders_b","msgs_c","senders_c"
"2013-05-29",2638021,133866,146704,7477,139983,7303
"2013-06-05",2472581,131629,140397,7451,131329,7285
"2013-06-04",2451255,132126,136844,7362,139721,7382
"2013-06-10",2710517,135373,147868,7544,145159,7433
"2013-05-27",2855752,135207,161932,7580,152942,7363
"2013-06-07",2357423,126966,134391,7131,125542,7009
"2013-05-28",2820685,136172,154760,7549,148769,7423
"2013-06-08",2374545,124611,138682,7014,127507,6885
"2013-06-03",2594199,131521,140918,7325,140956,7268
"2013-06-01",2292475,122227,129331,6811,117403,6753
"2013-05-31",2279306,125143,125930,6942,115545,6874
"2013-06-06",2456141,130079,140646,7356,136163,7274
"2013-05-30",2526091,131814,136552,7373,132242,7209
"2013-06-11",2577219,133680,143414,7531,138548,7374
"2013-06-02",2608129,128287,143601,7133,146601,7156
"2013-06-09",2711859,131166,151407,7366,147778,7261
