"dt","pets_a","petters_a","pets_b","petterss_b","pets_c","petters_c"
"2013-06-11",303407,21476,17865,1314,16016,1250
"2013-06-08",257670,19805,15490,1169,13803,1209
"2013-06-09",305764,21287,18902,1264,15902,1198
"2013-06-01",267342,19917,15063,1142,17656,1166
"2013-06-10",308831,21639,19582,1298,18247,1270
"2013-06-06",284243,20920,17410,1262,15314,1261
"2013-05-28",322827,22328,18346,1221,15909,1186
"2013-05-29",320317,21783,16905,1197,13723,1201
"2013-06-07",264696,20135,15236,1214,15241,1172
"2013-05-30",319236,21459,16012,1229,14835,1187
"2013-06-04",305834,21651,17382,1247,16820,1227
"2013-06-03",304590,21618,14748,1181,16551,1254
"2013-05-31",271704,20229,13856,1148,14277,1163
"2013-05-27",340791,21993,19170,1284,16279,1214
"2013-06-05",291824,21423,17304,1310,16123,1287
"2013-06-02",306541,21134,16855,1216,17351,1204
