"dt","petters","pets"
"2013-06-05",55766,716282
"2013-06-06",54805,692063
"2013-06-07",52699,653698
"2013-06-08",51598,643655
"2013-06-09",54989,739244
"2013-06-10",56207,743167
"2013-06-11",55355,734711
"2013-06-12",55958,748848
"2013-06-13",56715,763921
"2013-06-14",53302,701160
"2013-06-15",52125,675920
"2013-06-16",54119,719975
"2013-06-17",56458,758631
"2013-06-18",55208,733516
"2013-06-19",55829,748865
"2013-06-20",55379,752666
"2013-06-21",52864,718376
"2013-06-22",52531,717165
"2013-06-23",56255,792992
"2013-06-24",56483,783035
"2013-06-25",55331,786601
"2013-06-26",54765,776677
"2013-06-27",54192,729758
"2013-06-28",51418,663191
"2013-06-29",51094,687232
"2013-06-30",53191,714539
"2013-07-01",54097,719859
"2013-07-02",55250,787175
"2013-07-03",54319,766683
"2013-07-04",52648,742155
"2013-07-05",54216,750736
"2013-07-06",53478,765784
"2013-07-07",55906,826896
"2013-07-08",57786,837864
"2013-07-09",57389,836591
"2013-07-10",57266,839699
"2013-07-11",57104,820151
