"dt","new_friend","friend_request","message","meet_me","chat","pets_old","pets_bought_pet","pets_bought_you","photo_comment","meet_me_yes","on_boarding_onb1","on_boarding_onb2","on_boarding_onb3","inactive_rem1","inactive_rem2"
"2013-07-03",2892,7051,29902,2840,1975,9008,269,239,1069,12416,0,0,0,0,0
"2013-07-04",66480,128089,634001,63624,23691,190063,7256,4059,17931,230289,0,0,0,0,0
"2013-07-05",136122,268612,1310222,126585,47776,370877,7497,4889,24550,292262,0,0,0,0,0
"2013-07-06",161905,326195,1589578,159386,54240,473131,4509,1598,17866,194431,0,0,0,0,0
"2013-07-07",195507,392180,1917105,186791,61937,542819,3634,1331,18614,196326,0,0,0,0,0
"2013-07-08",213031,429655,2086274,218775,64994,576473,5428,4095,24720,345266,0,0,0,0,0
"2013-07-09",208461,419086,2079965,223165,65127,605236,10257,8089,35893,541185,0,0,0,0,0
"2013-07-10",238173,508763,2347226,247618,71169,666469,12762,9557,51680,677814,0,0,0,0,0
"2013-07-11",231061,508338,2298941,243978,70040,637154,17268,9717,52216,742197,0,0,0,0,0
"2013-07-12",240244,539040,2312966,272201,73363,642938,20240,13513,54728,856295,0,0,0,0,0
"2013-07-13",242084,543556,2393166,273309,74225,664184,14582,9991,56881,866449,0,0,0,0,0
"2013-07-14",275691,603338,2437475,302624,91364,726430,14416,10933,64348,978143,0,0,0,0,0
"2013-07-15",284965,635403,3043196,296151,91084,753617,15844,10355,71159,1028485,0,0,0,12,0
"2013-07-16",282264,642963,2977406,309356,89048,769216,17121,12542,72125,1046760,0,0,0,16,0
"2013-07-17",287074,651898,2970771,304899,90503,801490,19007,13348,76463,1075908,1,0,0,20,10
"2013-07-18",278396,645849,2981606,310806,89040,807119,17241,12726,74141,1064128,1,0,0,34,11
"2013-07-19",261002,617506,2846201,280609,83847,798568,16684,12097,70172,1004411,0,0,0,40,19
"2013-07-20",265391,643284,2946843,293536,93050,912120,16852,16660,72463,1072939,0,0,0,55,24
"2013-07-21",307979,725413,3275860,340775,99933,992484,16272,15601,85638,1260516,0,0,0,54,33
"2013-07-22",327341,748400,3391946,354286,101558,1020919,21027,15852,89266,1281324,0,0,0,58,32
