"dt","new_friend","friend_request","message","meet_me","chat","pets_old","pets_bought_pet","pets_bought_you","photo_comment","meet_me_yes","on_boarding_onb1","on_boarding_onb2","on_boarding_onb3","inactive_rem1","inactive_rem2"
"2013-07-03",180,336,1834,187,76,454,24,4,62,526,0,0,0,0,0
"2013-07-04",2985,6242,31707,3028,1317,7839,406,1634,943,10444,0,0,0,0,0
"2013-07-05",6698,13248,71122,6461,2684,16363,307,1499,1237,14586,0,0,0,0,0
"2013-07-06",8233,17730,88714,8278,3033,22205,179,333,991,14506,0,0,0,0,0
"2013-07-07",9897,20584,102162,9612,3407,24806,111,1121,1193,10216,0,0,0,0,0
"2013-07-08",10852,22526,110196,11400,3663,26776,372,1570,1188,16303,0,0,0,0,0
"2013-07-09",11082,22886,116934,12451,3583,28540,428,3810,1838,30007,0,0,0,0,0
"2013-07-10",12665,27122,125747,13960,3629,32827,537,2737,2850,35483,0,0,0,0,0
"2013-07-11",11597,28773,124367,12697,3874,31015,888,4120,2944,41092,0,0,0,0,0
"2013-07-12",12176,30773,125644,14182,3864,32756,706,3580,3462,49315,0,0,0,0,0
"2013-07-13",12517,30014,130259,13788,4353,32001,1482,4910,3455,46965,0,0,0,0,0
"2013-07-14",14286,33377,131125,17161,4691,32755,1217,4822,3716,53894,0,0,0,0,0
"2013-07-15",15033,35003,169201,16554,4099,34230,1104,5167,4183,56675,3,0,0,13,0
"2013-07-16",14849,34622,159723,17545,4245,36393,1551,5459,4402,56099,12,0,0,35,0
"2013-07-17",14634,34141,154593,17295,4540,34544,939,5442,4083,55200,30,9,0,92,29
"2013-07-18",14280,34143,160057,17670,4921,33183,967,5246,3872,54423,36,28,8,91,63
"2013-07-19",13535,32650,149221,15068,4307,30791,863,7833,4102,52487,31,27,26,123,72
"2013-07-20",13808,34295,157370,16296,4639,33800,976,9130,4367,55448,35,28,26,148,89
"2013-07-21",16172,38220,174381,18087,5374,39458,1257,9465,4578,67519,35,30,25,158,118
"2013-07-22",16878,39249,180855,19676,5473,37476,1315,13206,4818,69260,26,29,27,183,126
