"dt","new_friend","friend_request","message","meet_me","photo_comment","meet_me_yes"
"2012-10-05",96277,166232,3762005,62082,0,0
"2012-10-06",202313,371352,8139532,127601,0,0
"2012-10-07",221605,393780,9696447,136351,0,0
"2012-10-08",220413,387431,8865085,139781,0,0
"2012-10-09",217032,369054,8228286,133281,0,0
"2012-10-10",211145,361769,8231144,131625,0,0
"2012-10-11",210567,345723,7332191,126687,0,0
"2012-10-12",202412,320681,7193517,122020,0,0
"2012-10-13",208429,313998,7425110,124378,0,0
"2012-10-14",225201,348948,8371852,134109,0,0
"2012-10-15",222001,360821,8285202,134052,0,0
"2012-10-16",220023,348770,8159552,132067,0,0
"2012-10-17",213750,370267,7946278,134980,0,0
"2012-10-18",211840,349949,7564353,129932,0,0
"2012-10-19",195880,350950,7016749,123663,0,0
"2012-10-20",202746,339271,7414452,127192,0,0
"2012-10-21",76188,126741,2946605,47950,0,0
"2012-10-22",215161,342561,8500530,135552,0,0
"2012-10-23",210971,376526,8100486,131971,0,0
"2012-10-24",206866,334091,8028913,127518,0,0
"2012-10-25",200105,327813,7270944,125969,0,0
"2012-10-26",193274,326879,7032555,122057,0,0
"2012-10-27",193468,337125,7226287,123691,0,0
"2012-10-28",218067,347709,8381109,133547,0,0
"2012-10-29",218288,363755,8610128,133004,0,0
"2012-10-30",207988,362583,8108861,131223,0,0
"2012-10-31",199389,343960,7466126,122382,0,0
"2012-11-01",201944,344873,7826343,124664,0,0
"2012-11-02",188602,329962,7815073,121194,0,0
"2012-11-03",189854,355241,8149995,123230,0,0
"2012-11-04",211317,373514,9135887,134463,0,0
"2012-11-05",214805,361240,8728976,129993,0,0
"2012-11-06",208861,352851,7977993,126957,0,0
"2012-11-07",217343,352533,8180940,129929,0,0
"2012-11-08",205306,362588,7526995,128979,0,0
"2012-11-09",203457,357214,7196654,125049,0,0
"2012-11-10",207974,367628,7318947,127673,0,0
"2012-11-11",221975,378743,8224656,137414,0,0
"2012-11-12",222424,376707,8505542,140212,0,0
"2012-11-13",220178,368974,8267685,135625,0,0
"2012-11-14",212218,383775,8119031,134886,0,0
"2012-11-15",211422,365469,7974286,132751,0,0
"2012-11-16",199794,345920,7544009,127134,0,0
"2012-11-17",206379,352119,7523612,128683,0,0
"2012-11-18",218115,373074,8523901,138013,0,0
"2012-11-19",220579,369851,8504858,137595,0,0
"2012-11-20",211976,394584,8085454,135515,0,0
"2012-11-21",204076,360193,7820263,128104,0,0
"2012-11-22",191040,331325,7216800,122806,0,0
"2012-11-23",210949,360509,7930512,130786,0,0
"2012-11-24",214019,375857,8280664,135104,0,0
"2012-11-25",227163,413918,9040489,141726,0,0
"2012-11-26",223516,376542,8750221,138741,0,0
"2012-11-27",222974,394760,8568040,135456,0,0
"2012-11-28",214939,382168,8282473,128045,0,0
"2012-11-29",208692,361000,8210552,120343,0,0
"2012-11-30",193865,366985,7481609,115838,0,0
"2012-12-01",199642,358219,7692033,120902,0,0
"2012-12-02",220528,369346,8884601,130886,0,0
"2012-12-03",211699,354243,8537064,126481,0,0
"2012-12-04",209296,349135,8417164,125637,0,0
"2012-12-05",204384,348551,8825491,124003,0,0
"2012-12-06",202679,343871,8291969,121697,0,0
"2012-12-07",196917,337460,8307089,118143,0,0
"2012-12-08",200349,345842,8699612,117213,0,0
"2012-12-09",213123,357372,9428790,124224,0,0
"2012-12-10",214815,351923,8883930,123391,0,0
"2012-12-11",206196,364817,9051869,120752,0,0
"2012-12-12",209750,383357,8941094,128625,0,0
"2012-12-13",205144,354028,8544798,120385,0,0
"2012-12-14",194096,349332,7909175,114229,0,0
"2012-12-15",196826,352520,7951705,115175,0,0
"2012-12-16",215620,371239,8539822,121609,0,0
"2012-12-17",212200,367010,8447976,121452,0,0
"2012-12-18",207154,351054,8105961,116317,0,0
"2012-12-19",203328,367570,7958406,115637,0,0
"2012-12-20",200948,355307,7751509,118704,0,0
"2012-12-21",193829,402969,7141931,113881,0,0
"2012-12-22",192181,353050,7358021,115041,0,0
"2012-12-23",207547,364167,8242296,120769,0,0
"2012-12-24",194327,357508,7371083,111129,0,0
"2012-12-25",188689,351548,7207494,110744,0,0
"2012-12-26",224922,394192,9005234,133299,0,0
"2012-12-27",229116,392216,9112516,133010,0,0
"2012-12-28",213701,410148,8626547,128605,0,0
"2012-12-29",253653,388091,8553436,127669,0,0
"2012-12-30",221744,398255,8974491,130324,0,0
"2012-12-31",183605,344295,7151354,105215,0,0
"2013-01-01",227334,397993,8724684,131235,0,0
"2013-01-02",242583,410272,9570258,136632,0,0
"2013-01-03",231786,421979,9281252,138335,0,0
"2013-01-04",218588,406554,8836869,134966,0,0
"2013-01-05",221273,398667,8962746,134221,0,0
"2013-01-06",231966,406750,9625181,138938,0,0
"2013-01-07",235970,424712,9406587,150657,0,0
"2013-01-08",241174,413716,9621991,148384,0,0
"2013-01-09",234274,400063,9174361,146588,0,0
"2013-01-10",230763,399926,9366674,142534,0,0
"2013-01-11",222722,383287,8799428,141495,0,0
"2013-01-12",229815,394857,9020734,146626,0,0
"2013-01-13",246590,412224,9992492,153326,0,0
"2013-01-14",242491,407762,9854750,150688,0,0
"2013-01-15",244947,407251,9625367,167126,0,0
"2013-01-16",254958,415124,9538323,163696,0,0
"2013-01-17",248083,419879,9001174,162220,0,0
"2013-01-18",241541,397136,8473993,156683,0,0
"2013-01-19",239580,404480,8514899,154835,0,0
"2013-01-20",256919,419076,9464450,165405,0,0
"2013-01-21",266262,429729,10149140,165216,0,0
"2013-01-22",265187,415429,10129656,161263,0,0
"2013-01-23",257153,413794,9806765,160568,0,0
"2013-01-24",253432,412723,9117925,157488,0,0
"2013-01-25",250139,409645,7728525,154537,0,0
"2013-01-26",246362,406417,8363436,158640,0,0
"2013-01-27",263806,442464,9820772,170083,0,0
"2013-01-28",256755,420428,9888496,164622,0,0
"2013-01-29",260846,421649,9818401,156853,0,0
"2013-01-30",252675,407736,8696168,158292,0,0
"2013-01-31",246295,400460,8266790,152121,0,0
"2013-02-01",232310,380340,7494299,144063,0,0
"2013-02-02",245552,396572,7894849,147476,0,0
"2013-02-03",247806,478441,8938224,158493,0,0
"2013-02-04",255055,409738,9160375,159595,0,0
"2013-02-05",252205,1356971,9026929,368951,0,0
"2013-02-06",250045,2272369,8911145,522273,0,0
"2013-02-07",240558,1769402,8514663,424642,0,0
"2013-02-08",245462,1145124,8493301,344494,77741,1418492
"2013-02-09",241378,2225407,8604829,586566,262624,4505504
"2013-02-10",261613,2384194,9501333,646549,279987,4860534
"2013-02-11",294076,1559289,9523395,412381,190035,3556201
"2013-02-12",717205,1403835,8666303,410399,0,0
"2013-02-13",644663,1557063,7536168,440800,0,0
"2013-02-14",352359,744077,8857061,317115,0,0
"2013-02-15",787290,2029367,8542043,735640,0,0
"2013-02-16",830263,2154467,9298659,561772,0,0
"2013-02-17",890864,2306559,9814909,614338,0,0
"2013-02-18",981447,2420578,10094400,675384,0,0
"2013-02-19",984768,2375113,10429576,604773,0,0
"2013-02-20",897021,2329691,10096703,578909,0,0
"2013-02-21",884865,2248014,9708385,565654,0,0
"2013-02-22",816876,2153263,8895118,542718,0,0
"2013-02-23",857648,2170287,9394734,552223,0,0
"2013-02-24",941915,2313467,10070597,608105,0,0
"2013-02-25",905428,2321368,9607609,581752,0,0
"2013-02-26",916341,2260615,9713018,596055,0,0
"2013-02-27",862233,2167104,9641449,560618,0,0
"2013-02-28",834733,2096899,9030656,553462,0,0
"2013-03-01",836664,1963439,9036004,509846,0,0
"2013-03-02",821172,1997176,9063830,508063,0,0
"2013-03-03",943330,2097543,10033522,493494,0,0
"2013-03-04",933826,2289346,9804815,557425,0,0
"2013-03-05",909785,2197644,9493788,557263,0,0
"2013-03-06",852568,2226955,9621246,563631,15737,312096
"2013-03-07",820365,2207623,8869183,550396,38890,684744
"2013-03-08",756122,2014432,8351662,510232,35177,588029
"2013-03-09",748364,2010082,8407946,518259,35241,575959
"2013-03-10",801538,2096448,8916129,548038,35800,592981
"2013-03-11",863916,2405779,9406450,570767,41395,605966
"2013-03-12",841554,2395739,9025448,537164,38488,584438
"2013-03-13",827250,2306026,9147568,540039,38577,601587
"2013-03-14",796997,2255972,8927729,502285,38194,533778
"2013-03-15",741550,2083977,8197671,446768,33247,461423
"2013-03-16",743142,2075265,8308986,477920,32043,496178
"2013-03-17",825283,2266910,9258920,534670,35903,560058
"2013-03-18",864541,2350205,9564025,533411,40487,547344
"2013-03-19",807384,2250551,9300989,480690,37820,491210
"2013-03-20",782726,2226279,9037238,465404,38502,473012
"2013-03-21",771539,2186732,9026692,465808,49482,611633
"2013-03-22",729722,2084695,8877444,443528,69379,854630
"2013-03-23",758527,2142497,9241242,464792,80034,949553
"2013-03-24",850308,2340192,10153206,533653,93913,1118072
"2013-03-25",857712,2420257,10181418,526028,93381,1114572
"2013-03-26",810121,2328405,9927847,535781,80262,1093548
"2013-03-27",784052,2205746,9328596,495590,81423,1093491
"2013-03-28",751331,2118968,8867232,463728,78110,1033970
"2013-03-29",707071,2043766,8622719,442428,75342,998610
"2013-03-30",693638,2042500,8526900,437597,74872,1000543
"2013-03-31",761118,2169603,9196042,471911,80382,1072848
"2013-04-01",803505,2288522,9771911,502968,87265,1130607
"2013-04-02",803285,2209481,9322454,499132,89390,1149197
"2013-04-03",786003,2180403,9151447,495751,88905,1179098
"2013-04-04",810682,2228128,8970508,519244,75640,1041757
"2013-04-05",813195,2256416,8915521,530389,67713,1000432
"2013-04-06",769718,2031369,8329013,479233,79195,1195214
"2013-04-07",844549,2214825,9277160,534931,88148,1261298
"2013-04-08",839216,2212147,9331074,523565,85489,1220492
"2013-04-09",766264,2029050,8737526,475695,79607,1171812
"2013-04-10",791196,2097285,8945930,497269,71798,1047375
"2013-04-11",754888,1970299,8437154,468071,55081,806851
"2013-04-12",739810,2020218,8873205,469559,56411,821630
"2013-04-13",750442,2017715,8810400,493008,54458,885154
"2013-04-14",857510,2210757,9949078,550904,65951,987435
"2013-04-15",827047,2213703,9879579,537066,60177,934942
"2013-04-16",807784,2141757,9673178,512487,58469,920930
"2013-04-17",779142,2083353,9422779,489134,58089,882001
"2013-04-18",774537,2073201,9237323,495798,57067,910249
"2013-04-19",726808,1968542,8735681,467270,53088,890654
"2013-04-20",697739,1819966,8221559,483361,50933,911954
"2013-04-21",835898,2146710,9566004,551368,60378,1021142
"2013-04-22",829384,2157558,9591233,538265,60829,994933
"2013-04-23",803181,2097072,9329834,521026,59860,1009277
"2013-04-24",777387,2016899,8921866,504124,56039,972826
"2013-04-25",753733,1982924,9045866,491432,57986,964116
"2013-04-26",706531,1901581,8665051,483852,54138,1082216
"2013-04-27",732497,1960842,8990982,547636,54282,1306521
"2013-04-28",841658,2138653,10849585,600584,64051,1343542
"2013-04-29",690138,1754067,8200215,469573,52689,1049354
"2013-04-30",730440,1879758,7934655,513358,58451,1142124
"2013-05-01",733078,1846231,7491273,512796,56379,1179546
"2013-05-02",685908,1843175,8175621,469566,54801,1098986
"2013-05-03",642913,1716400,7875913,361437,53126,711176
"2013-05-04",671026,1820599,7962055,471179,56627,1193312
"2013-05-05",676236,1796842,8354056,395477,57029,768774
"2013-05-06",781517,2073386,9213723,512278,66861,1232224
"2013-05-07",756701,1984640,8988390,512414,64985,1024828
"2013-05-08",776990,1978304,8943638,626083,63307,906294
"2013-05-09",755439,1927229,8611339,654775,65132,826153
"2013-05-10",731719,1843525,8247833,647626,59429,750624
"2013-05-11",707147,1838103,8314603,561739,60697,761693
"2013-05-12",710260,1816117,8305706,546392,61775,774151
"2013-05-13",796437,2013628,9002325,670589,65597,856806
"2013-05-14",827392,2051918,8903928,801619,66689,973317
"2013-05-15",832625,1981682,8548859,797063,65083,943635
"2013-05-16",819524,1970385,8479057,796095,61858,910916
"2013-05-17",793342,1916858,8347624,778063,61615,862357
"2013-05-18",807935,1957383,8514812,794554,62431,893582
"2013-05-19",909388,2163465,9590026,871211,69774,979125
"2013-05-20",903412,2171503,9673872,869247,70772,972155
"2013-05-21",870423,2071216,8957372,836901,65541,952796
"2013-05-22",846691,2045960,8804736,820151,66612,935819
