"dt","meet_me_yes"
"2013-02-28",0
"2013-07-11",1913555
"2012-11-24",0
"2013-06-25",1005788
"2012-11-08",0
"2013-04-17",882001
"2013-07-20",2377419
"2013-03-19",491210
"2012-12-13",0
"2012-10-10",0
"2013-07-02",1048145
"2012-11-25",0
"2013-03-01",0
"2013-07-25",2973933
"2013-05-22",935819
"2012-10-05",0
"2013-03-14",533778
"2013-08-13",3585817
"2013-04-12",821630
"2013-01-06",0
"2013-05-09",826153
"2013-01-12",0
"2013-04-18",910249
"2012-10-08",0
"2013-05-15",943635
"2013-07-13",2183221
"2012-11-26",0
"2013-03-02",0
"2013-07-04",1228479
"2013-03-03",0
"2012-11-27",0
"2013-04-25",964116
"2012-11-16",0
"2013-07-03",1101909
"2013-01-19",0
"2012-11-07",0
"2013-06-14",940500
"2013-02-11",3556201
"2013-04-10",1047375
"2013-08-11",3435368
"2013-05-07",1024828
"2012-11-01",0
"2013-01-04",0
"2013-05-19",979125
"2013-04-22",994933
"2013-01-16",0
"2012-11-13",0
"2013-03-13",601587
"2012-12-07",0
"2013-07-14",2416307
"2013-01-22",0
"2012-10-18",0
"2013-03-27",1093491
"2013-07-28",2973616
"2013-05-24",914541
"2013-03-16",496178
"2012-10-07",0
"2013-01-11",0
"2013-07-27",2733937
"2013-07-17",2477066
"2013-03-06",312096
"2013-05-14",973317
"2013-02-02",0
"2013-06-15",928124
"2012-11-30",0
"2013-07-23",2901892
"2013-03-12",584438
"2012-12-06",0
"2013-02-01",0
"2013-08-07",3298058
"2013-06-04",951545
"2012-10-28",0
"2013-07-01",936338
"2013-01-17",0
"2013-04-23",1009277
"2013-06-12",1047091
"2013-02-09",4505504
"2013-06-20",1017830
"2013-02-17",0
"2012-12-11",0
"2013-07-18",2424858
"2013-03-17",560058
"2013-01-03",0
"2012-10-31",0
"2013-04-09",1171812
"2013-06-17",1069163
"2013-04-20",911954
"2013-01-14",0
"2013-05-17",862357
"2012-11-10",0
"2013-01-13",0
"2013-04-19",890654
"2013-06-22",995025
"2012-11-15",0
"2013-02-19",0
"2013-06-11",1007186
"2012-10-25",0
"2013-01-29",0
"2013-05-20",972155
"2012-11-04",0
"2013-04-13",885154
"2013-01-07",0
"2012-12-17",0
"2013-07-24",2906806
"2012-10-14",0
"2013-03-23",949553
"2013-05-29",1033633
"2012-10-22",0
"2013-01-26",0
"2012-11-21",0
"2013-05-27",1063651
"2013-02-25",0
"2013-02-08",1418492
"2013-06-21",962931
"2013-04-21",1021142
"2013-06-29",911257
"2013-01-15",0
"2012-11-12",0
"2012-10-20",0
"2013-07-30",3328416
"2013-01-24",0
"2013-02-27",0
"2013-06-30",946577
"2012-11-23",0
"2012-10-21",0
"2013-01-25",0
"2013-06-07",929686
"2012-10-11",0
"2012-12-14",0
"2013-05-28",1057904
"2013-03-20",473012
"2013-02-04",0
"2012-12-02",0
"2012-12-22",0
"2013-03-28",1033970
"2012-10-19",0
"2013-08-08",3622760
"2012-12-29",0
"2013-05-01",1179546
"2013-07-08",1463222
"2013-03-07",684744
"2012-12-01",0
"2013-07-26",2662578
"2012-10-16",0
"2013-01-20",0
"2013-01-05",0
"2013-05-18",893582
"2013-04-11",806851
"2013-05-12",774151
"2013-07-15",2460486
"2013-03-04",0
"2013-05-11",761693
"2013-04-14",987435
"2013-01-08",0
"2012-11-05",0
"2012-12-27",0
"2013-04-02",1149197
"2013-04-29",1049354
"2013-08-03",2804793
"2013-02-16",0
"2013-07-31",3366808
"2013-04-26",1082216
"2013-07-09",1604993
"2013-02-26",0
"2012-11-22",0
"2012-11-28",0
"2013-01-31",0
"2013-06-13",1040450
"2012-11-11",0
"2013-06-18",1013385
"2013-02-15",0
"2013-05-05",768774
"2013-01-02",0
"2012-12-12",0
"2013-02-14",0
"2013-06-27",1066814
"2012-12-30",0
"2012-10-27",0
"2013-04-05",1000432
"2012-12-15",0
"2013-07-22",2803322
"2013-03-21",611633
"2012-10-12",0
"2013-02-13",0
"2012-11-09",0
"2013-06-16",1041848
"2013-03-18",547344
"2013-07-29",2965171
"2012-10-09",0
"2013-05-26",1002966
"2012-10-06",0
"2013-05-13",856806
"2013-04-16",920930
"2013-01-10",0
"2013-03-15",461423
"2013-07-16",2414014
"2012-12-09",0
"2013-06-01",921434
"2013-03-24",1118072
"2012-10-15",0
"2012-12-18",0
"2013-07-07",1177859
"2013-05-04",1193312
"2013-02-24",0
"2013-07-05",1267642
"2013-02-22",0
"2012-11-18",0
"2013-03-05",0
"2012-11-29",0
"2013-07-06",1118202
"2012-12-25",0
"2013-04-27",1306521
"2013-03-31",1072848
"2013-08-01",3094817
"2013-04-03",1179098
"2012-12-28",0
"2013-08-14",906257
"2013-05-10",750624
"2013-05-03",711176
"2013-04-06",1195214
"2012-12-31",0
"2012-12-04",0
"2013-03-10",592981
"2013-07-21",2751383
"2013-03-29",998610
"2013-06-28",964974
"2012-12-23",0
"2013-07-10",1896123
"2013-03-09",575959
"2012-12-03",0
"2012-11-14",0
"2013-04-28",1343542
"2013-08-02",2794638
"2013-02-18",0
"2013-04-15",934942
"2013-01-09",0
"2012-11-06",0
"2013-06-09",1054551
"2013-01-27",0
"2012-10-23",0
"2013-07-19",2283336
"2013-03-08",588029
"2013-05-16",910916
"2013-02-05",0
"2013-06-08",942574
"2013-03-25",1114572
"2013-06-24",1078488
"2012-12-19",0
"2013-03-22",854630
"2012-10-13",0
"2012-12-16",0
"2013-05-30",1005993
"2013-03-11",605966
"2012-12-05",0
"2013-07-12",2247737
"2013-05-25",929104
"2012-11-19",0
"2013-02-23",0
"2012-10-30",0
"2013-08-09",3436953
"2013-02-03",0
"2013-06-06",980103
"2013-04-08",1220492
"2013-05-31",909486
"2013-01-28",0
"2012-10-24",0
"2013-01-01",0
"2012-10-29",0
"2013-04-07",1261298
"2012-12-24",0
"2013-08-10",3119649
"2013-05-06",1232224
"2013-03-30",1000543
