"dt","count"
"2013-05-01",242227
"2013-05-02",85924
"2013-05-03",51492
"2013-05-04",36741
"2013-05-05",29466
"2013-05-06",26106
"2013-05-07",20614
"2013-05-08",17575
"2013-05-09",15179
"2013-05-10",13097
"2013-05-11",12187
"2013-05-12",11246
"2013-05-13",11165
"2013-05-14",10513
"2013-05-15",9869
"2013-05-16",9286
"2013-05-17",8882
"2013-05-18",8339
"2013-05-19",8505
"2013-05-20",8663
"2013-05-21",8300
"2013-05-22",7916
"2013-05-23",7692
"2013-05-24",7471
"2013-05-25",7146
"2013-05-26",7361
"2013-05-27",7758
"2013-05-28",7672
"2013-05-29",7680
"2013-05-30",7392
"2013-05-31",7212
"2013-06-01",6959
