Mood,Activity,Company,Situation,Thinking,Public,Day,Time
Impatient,1,1,1,1,1,1,6
Concentrating,2,2,1,1,1,1,6
Puzzeled,2,3,1,1,1,1,6
Pleased,2,3,1,1,1,1,9
Tired,3,4,1,2,2,1,10
Refreshed,4,2,1,2,1,2,1
Puzzeled,5,2,1,3,2,2,1
Peaceful,6,5,1,4,1,2,1
Interested,7,2,2,5,1,2,1
Amused,8,3,1,6,1,2,4
Hungry,1,5,1,7,3,2,6
Amused,8,3,1,8,2,2,6
Interested,9,3,1,1,3,2,6
Bored,9,2,2,1,3,2,9
Entertained,10,3,1,9,1,2,10
Optimistic,11,2,1,4,2,3,1
Sleepy,12,2,1,10,3,3,1
Interested,13,6,3,11,4,3,1
Focused,14,2,4,4,3,3,1
Mad,14,2,4,4,1,4,1
Tired,14,7,4,4,1,4,6
Excited,7,2,4,12,3,5,1
Hungry,8,2,4,4,3,5,4
