Phone (Area Code Only),Group,Last Call,Times Called, Number of Texts, Total Talk Time (in Minutes), Starred, Photo, First Name Basis
650,0,0,0,0,0,,,0
310,0,0,0,0,0,,,0
408,1,0,0,0,0,,,0
076,0,0,0,0,0,,,0
302,1,0,0,0,0,,,0
415,1,0,0,0,0,,,0
949,1,0,0,0,0,,,0
510,1,09/01/2012 09:47,2,6,0,,,0
626,0,0,0,0,0,,,0
310,0,0,0,0,0,,,0
406,1,0,0,0,0,,,0
800,0,0,0,0,0,,,0
415,0,0,0,0,0,,,0
818,1,0,0,0,0,,,0
800,1,0,0,0,0,,,0
800,1,0,0,0,0,,,0
650,0,06/03/2013 19:18,73,29,0,,1,0
310,0,0,0,0,0,,,0
707,0,0,0,0,0,,,0
310,1,0,0,0,0,,,0
407,0,0,0,0,0,,,0
310,1,0,0,0,0,,,0
310,0,0,0,0,0,,,0
650,0,0,0,0,0,,,0
408,0,0,0,0,0,,,1
310,1,0,0,0,0,,,1
212,1,0,0,0,0,,,0
510,1,0,0,0,0,,,0
415,1,0,0,0,0,,1,0
415,1,04/08/2013 09:46,7,70,106.60,,,1
310,0,0,0,0,0,,,0
415,1,0,0,0,0,,1,0
076,0,0,0,0,0,,,1
818,0,0,0,0,0,,,0
310,0,0,0,0,0,,,0
415,0,0,0,0,0,,,0
310,0,0,0,0,0,,,0
800,0,0,0,0,0,,,1
310,1,0,0,0,0,,,0
831,0,0,0,10,0,,,0
916,0,0,0,0,0,,1,0
415,0,11/12/2012 17:17,1,9,0,,,0
415,0,03/29/2013 15:35,8,14,16.25,,,0
917,0,01/31/2013 18:13,2,6,0,,,0
415,0,12/23/2012 11:48,1,0,0,,,0
703,0,0,0,0,0,,,0
447,0,0,0,0,0,,,0
408,0,02/14/2013 07:40,1,0,0,,,1
917,0,0,0,0,0,,,0
425,0,0,0,0,0,,,0
800,0,0,0,0,0,,,0
650,0,0,0,0,0,,,0
831,0,0,0,0,0,,,0
201,0,0,0,0,0,,,0
917,0,0,0,0,0,,,0
214,1,0,0,0,0,,,0
888,1,0,0,0,0,,,0
310,0,0,0,0,0,,,0
415,0,0,0,0,0,,,1
415,0,0,0,0,0,,,0
401,1,0,0,0,0,,1,0
813,0,0,0,0,0,,,0
240,0,0,0,0,0,,,0
650,0,06/03/2013 08:16,25,11,3.02,,1,0
415,1,0,0,6,0,,,0
650,0,0,0,0,0,,1,0
425,1,05/28/2013 12:20,13,0,0,,,0
650,1,02/09/2013 14:48,9,0,0,,,0
650,1,0,0,7,0,,,0
310,0,0,0,0,0,,,0
011,1,0,0,0,0,,,0
415,1,06/05/2013 15:11,434,0,75.22,,1,0
415,0,0,0,0,0,,,0
866,0,0,0,0,0,,,0
734,0,0,0,0,0,,,0
