Phone (Area Code Only),Group,Last Call,Times Called, Number of Texts, Total Talk Time (in Minutes), Starred, Photo, First Name Basis
805,1,0,0,0,0,,1,0
510,1,0,0,0,0,,,0
639,0,0,0,0,0,,1,0
415,1,0,0,0,0,,1,0
415,0,0,0,0,0,,,0
408,2,12/25/2012 11:54,1,0,0,,,0
408,1,0,0,0,0,,1,0
408,1,0,0,0,0,,1,1
415,0,12/13/2012 19:17,1,0,0,,1,0
650,0,0,0,0,0,,,0
617,1,0,0,0,0,,1,0
408,0,0,0,0,0,,,0
408,1,0,0,0,0,,1,0
408,1,0,0,0,0,,1,0
916,2,0,0,0,0,,,0
650,1,0,0,0,0,,,0
415,1,0,0,0,0,,,0
408,1,0,0,0,0,,,0
503,1,0,0,0,0,,,0
408,2,0,0,0,0,,1,0
408,1,05/30/2013 19:14,9,0,0,,1,1
818,0,0,0,0,0,,,0
415,0,0,0,0,0,,,0
408,0,0,0,0,0,,,0
415,0,0,0,0,0,,1,0
650,1,0,0,29,56.92,,,0
408,0,0,0,0,0,,,0
415,0,0,0,0,0,,,0
415,0,04/30/2013 16:08,1,0,0,,,0
408,0,0,0,0,0,,1,0
323,1,0,0,0,0,,,0
650,1,0,0,0,0,,1,0
650,0,0,0,0,0,,,1
415,0,0,0,0,0,,1,0
408,1,0,0,0,0,,1,0
408,1,06/01/2013 11:22,1,0,0,,1,0
206,0,0,0,0,0,,1,0
408,0,0,0,0,0,,1,0
408,0,0,0,0,0,,,0
650,1,06/06/2013 13:39,730,29,56.92,,1,0
415,0,0,0,0,0,,1,0
415,0,0,0,0,0,,,0
415,1,0,0,0,0,,1,0
757,2,0,0,0,0,,1,0
415,0,0,0,0,0,,1,0
408,0,0,0,0,0,,,0
925,1,0,0,0,0,,,0
408,1,0,0,0,0,,1,0
209,2,05/18/2013 18:33,58,0,0,1,,0
415,0,0,0,0,0,,1,0
639,0,0,0,0,0,,1,0
408,1,05/13/2013 18:09,11,0,0,,1,0
415,0,12/14/2012 16:48,3,0,0,,1,0
