Phone (Area Code Only),Group,Last Call,Times Called, Number of Texts, Total Talk Time (in Minutes), Starred, Photo, First Name Basis
903,1,0,0,0,0,,,0
510,0,0,0,0,0.42,,,0
415,1,0,0,0,0,,,0
858,1,0,0,0,0,,,0
408,0,0,0,0,0,,,1
541,2,05/18/2013 17:47,3,581,47.27,,,0
503,1,0,0,0,0,,,0
650,1,0,0,36,1.28,,,0
971,1,0,0,16,0,,,1
971,1,0,0,0,0,,,0
510,0,04/22/2013 13:22,6,0,18.93,,,0
541,2,0,0,4,0,,,1
650,0,0,0,0,0,,,0
510,0,0,0,0,0,,,0
415,0,0,0,0,0,,,1
408,1,0,0,0,0,,,1
408,1,0,0,0,0,,,1
408,2,05/11/2013 11:03,15,1206,5.45,,,1
415,0,0,0,0,0,,,1
415,0,0,0,0,0.00,,,0
510,0,0,0,0,0,,,1
978,1,0,0,0,0,,,1
510,0,0,0,0,0,,,1
541,0,0,0,0,0,,,0
510,1,0,0,18,0.87,,,1
503,1,0,0,0,0,,,1
408,1,0,0,0,0,,1,0
408,2,04/26/2013 12:21,2,7,0.00,,,1
541,1,0,0,0,0,,,0
541,1,04/21/2013 20:42,2,647,0.12,,,1
408,1,0,0,0,0,,,1
408,0,0,0,0,0,,,1
415,0,0,0,0,0,,,1
408,2,04/28/2013 08:11,2,0,0.00,,,1
503,1,0,0,0,0,,,0
408,2,04/27/2013 13:13,3,7,6.08,,,0
831,1,0,0,9,0.77,,,0
503,1,0,0,0,0,,,0
480,0,0,0,0,3.18,,,0
408,2,0,0,0,2.20,,,0
