Phone (Area Code Only),Group,Last Call,Times Called, Number of Texts, Total Talk Time (in Minutes), Starred, Photo, First Name Basis
408,0,0,0,0,0,,,1
732,0,0,0,0,0,,,0
800,0,06/01/2013 18:34,1,0,0.00,,,0
415,0,0,0,0,0,,,0
858,0,0,0,0,0,,,0
415,0,0,0,0,0,,,0
949,1,0,0,0,0,,,0
412,0,0,0,0,0,,,0
408,0,0,0,0,0,,,1
831,1,0,0,0,0,,,0
707,1,0,0,0,0,,,0
800,0,0,0,0,0,,,1
800,0,0,0,0,0,,,1
510,1,0,0,0,0,,,0
718,1,0,0,0,0,,,0
919,1,0,0,0,0,,,0
805,1,0,0,0,0,,,0
440,1,04/15/2013 18:15,8,212,2.98,,,1
408,1,0,0,0,0,,,0
408,2,06/04/2013 18:48,27,0,11.27,1,,0
413,1,0,0,0,0,,,0
408,0,02/27/2013 16:45,2,0,0.98,,,0
831,1,05/25/2013 13:16,36,0,0,1,,0
831,1,06/01/2013 18:55,13,0,21.83,1,,0
310,1,0,0,0,0,,,1
408,0,0,0,0,0,,,1
408,2,05/25/2013 18:31,21,13,19.00,1,,0
650,0,0,0,0,0,,,1
408,0,0,0,0,0,,,1
408,1,0,0,0,0,,,0
650,0,03/16/2013 10:56,1,0,0.40,,,0
831,1,0,0,2,0,1,,0
510,2,06/02/2013 15:48,195,292,103.58,1,1,0
408,1,06/01/2013 18:31,80,145,33.28,,,0
650,0,02/26/2013 09:16,1,0,0.00,,,0
805,1,0,0,0,0,,,0
415,1,02/22/2013 00:17,1,11,0,,,1
408,0,05/25/2013 11:23,71,0,141.05,,,0
831,1,0,0,0,0,,,0
562,1,0,0,0,0,,,0
408,0,0,0,0,0,,,0
408,0,0,0,0,0,,,0
415,1,0,0,0,0,,,0
650,0,0,0,0,0,,,0
925,0,0,0,0,0,,,0
408,0,0,0,0,0,,,1
800,0,0,0,0,0,,,1
831,1,0,0,0,0,,,0
415,1,0,0,0,0,,,0
408,0,04/24/2013 17:44,5,40,28.48,,,0
415,0,0,0,0,0,,,1
408,1,04/21/2013 19:28,2,0,0.68,,,0
408,0,0,0,0,0,,,0
831,1,0,0,0,0,1,,0
415,0,0,0,0,0,,,1
408,0,04/13/2013 18:41,1,0,3.97,,,0
408,2,05/02/2013 19:03,3,0,0,,1,0
800,0,0,0,0,0,,,1
646,0,0,0,0,0,,1,0
408,0,0,0,0,0,,,1
408,0,03/13/2013 07:54,6,0,21.47,,,0
415,0,0,0,0,0,,,0
404,0,0,0,0,0,,,0
650,1,0,0,0,0,,,0
408,1,0,0,0,0,,,0
585,1,0,0,15,0,1,,0
513,1,06/01/2013 18:38,4,31,33.67,,,0
888,0,0,0,0,0,,,0
650,0,0,0,0,0,,,0
408,1,05/14/2013 15:51,36,57,18.88,,,1
415,0,0,0,0,0,,,0
831,1,03/13/2013 19:16,5,0,8.02,,,0
508,1,0,0,0,0,,,0
209,0,0,0,0,0,,,0
925,1,0,0,0,0,,,0
408,0,0,0,0,0,,,0
831,1,0,0,0,0,,,0
408,0,0,0,0,0,,,1
626,0,0,0,0,0,,,0
408,0,0,0,0,0,,,0
650,1,0,0,0,0,,,0
408,1,0,0,5,0,,,0
415,0,0,0,0,0,,,0
408,0,0,0,0,0,,,0
831,1,0,0,0,0,,,0
408,1,04/06/2013 14:59,1,0,0.00,,,1
408,1,06/01/2013 18:37,5,4,1.62,,,0
408,0,0,0,0,0,,,0
530,0,0,0,0,0,,,0
831,1,0,0,0,0,,,0
650,0,0,0,0,0,,,0
510,0,0,0,0,0,,,0
408,0,0,0,0,0,,,0
408,0,0,0,0,0,,,1
408,0,0,0,0,0,,,0
831,0,0,0,0,0,,,0
877,0,0,0,0,0,,,0
408,1,0,0,0,0,,,0
408,2,0,0,0,0,,,0
408,0,0,0,0,0,,,0
408,1,05/26/2013 18:36,24,0,0,,,0
415,0,0,0,0,0,,,0
408,0,0,0,0,0,,,0
707,1,0,0,4,0,,,0
408,0,0,0,0,0,,,0
530,1,0,0,0,0,,,0
917,0,0,0,0,0,,,1
408,1,04/28/2013 12:36,6,43,5.08,1,,0
805,0,0,0,0,0,,,1
408,1,0,0,0,0,,,0
859,0,0,0,0,0,,,1
408,0,0,0,0,0,,,1
510,0,0,0,0,0,,,0
650,1,02/05/2013 12:57,1,7,0,,,1
408,0,0,0,0,0,,,1
510,2,04/21/2013 22:47,1,0,0.08,,,0
650,1,0,0,0,0,,,0
408,0,0,0,0,0,,,0
831,0,0,0,0,0,,,0
541,0,0,0,0,0,,,0
510,0,0,0,0,0,,,1
408,1,06/01/2013 13:24,61,20,99.32,1,,0
408,1,03/02/2013 16:09,1,0,2.05,,,0
888,0,0,0,0,0,,,0
831,1,0,0,0,0,,,0
612,1,0,0,0,0,,,0
408,1,0,0,0,0,,,0
415,1,0,0,0,0,,,0
408,2,06/04/2013 19:52,25,0,0,1,1,0
408,0,0,0,0,0,,,0
415,0,02/03/2013 08:35,2,0,0,,,0
408,0,0,0,0,0,,,1
619,1,0,0,0,0,,,0
408,0,0,0,0,0,,,0
415,1,0,0,0,0,,,0
408,0,01/25/2013 14:32,1,0,0,,,0
925,1,0,0,0,0,,,0
408,1,0,0,0,0,,,0
408,0,0,0,0,0,,,0
408,1,0,0,0,0,,,0
650,1,0,0,0,0,,1,0
951,0,0,0,0,0,,,1
831,1,0,0,0,0,,,0
650,1,0,0,0,0,,,0
