Phone (Area Code Only),Group,Last Call,Times Called, Number of Texts, Total Talk Time (in Minutes), Starred, Photo, First Name Basis
415,0,04/22/2013 16:54,1,0,0,,,0
415,1,0,0,0,0,,1,0
773,1,0,0,0,0,,,0
415,1,03/29/2013 20:41,24,0,0,,1,0
603,1,0,0,0,0,,1,0
415,1,0,0,0,0,,,0
469,1,0,0,0,0,1,,1
512,0,0,0,0,0,,1,0
412,1,0,0,0,0,,,0
937,1,0,0,0,0,1,,0
205,1,0,0,0,0,1,,0
641,1,02/12/2013 21:22,3,6,0,,1,0
510,0,0,0,0,0,,1,0
617,1,0,0,0,0,,1,0
650,0,0,0,0,0,,1,0
415,1,0,0,0,0,,1,0
404,1,0,0,9,0,1,1,1
804,0,0,0,0,0,,,0
847,1,0,0,0,0,,1,0
831,0,0,0,0,0,,,0
415,1,0,0,0,0,,,0
928,1,0,0,0,0,,,1
770,1,0,0,0,0,,1,0
415,0,0,0,0,0,,1,0
415,1,05/21/2013 21:54,2,11,0,,1,0
718,1,0,0,0,0,,1,0
415,0,05/02/2013 22:29,8,15,0.00,,1,0
415,0,0,0,0,0,,,0
415,1,0,0,2,0,,1,0
510,1,0,0,0,0,,1,0
314,2,0,0,0,0,1,,0
415,1,0,0,0,0,,1,0
518,1,05/21/2013 21:54,1,0,0,,1,0
678,1,0,0,0,0,1,1,0
650,1,0,0,0,0,,,0
650,1,0,0,0,0,1,1,0
912,1,0,0,0,0,1,1,0
151,0,0,0,0,0,,,0
510,0,0,0,0,0.00,,,0
415,0,0,0,0,0,,,0
925,0,0,0,0,0,,,1
415,0,0,0,0,0,1,,0
447,1,0,0,0,0,,1,0
510,1,0,0,0,0,1,1,0
415,0,0,0,0,0,,,0
510,1,05/11/2013 17:26,4,70,2.37,1,1,0
904,1,0,0,0,0,1,1,0
646,1,04/30/2013 17:14,3,4,0,,1,0
650,1,0,0,0,0,,1,0
888,0,04/04/2013 11:58,7,0,0.00,,,0
415,0,04/19/2013 10:04,4,0,3.17,,,0
650,0,0,0,0,0,1,1,0
650,0,0,0,0,0,1,,0
916,0,0,0,0,0,,,0
415,1,0,0,0,0,,,0
510,1,0,0,0,0,,,0
415,0,0,0,0,0,,,0
415,1,05/10/2013 20:43,1,27,2.75,,,0
314,1,0,0,0,0,,1,0
314,1,0,0,0,0,,,1
