Phone (Area Code Only),Group,Last Call,Times Called, Number of Texts, Total Talk Time (in Minutes), Starred, Photo, First Name Basis
570,1,02/18/2013 10:42,5,0,2.53,,,0
703,1,0,0,0,0,,,0
651,1,0,0,0,0,,1,0
612,1,0,0,0,0,,1,0
651,1,0,0,0,0,,,0
651,0,0,0,0,0,,1,0
585,1,0,0,0,0,,,0
651,1,0,0,0,0,,1,0
415,1,0,0,0,0,,,0
860,1,0,0,0,0,,1,0
954,1,0,0,0,0.00,,,1
415,1,0,0,0,0,,,1
518,1,0,0,0,0,,,0
207,1,0,0,0,0,,1,0
310,1,03/10/2013 09:26,1,0,0.32,,,0
585,1,04/19/2013 16:00,5,0,0.00,,1,0
425,1,0,0,0,0,,,0
952,1,0,0,0,0,,,0
952,1,0,0,0,0,,1,0
203,1,0,0,0,0,,1,0
440,1,04/13/2013 14:49,3,0,0.00,,1,0
413,1,05/31/2013 19:08,34,40,2.92,,1,0
651,1,0,0,0,0,,1,0
612,1,0,0,0,0,,,0
413,0,0,0,0,0,,,0
585,1,0,0,0,0,,1,0
814,0,04/22/2013 13:03,3,0,0.88,,,0
845,1,02/16/2013 21:21,3,0,2.22,,1,0
612,2,06/04/2013 22:07,23,0,129.60,,,0
203,1,12/20/2012 15:17,2,0,2.27,,,0
651,1,0,0,0,0,,,0
415,1,0,0,0,0,,1,0
303,1,0,0,0,0,,,1
612,2,06/06/2013 09:55,120,30,754.05,,1,0
651,1,0,0,0,0,,,0
917,1,04/21/2013 15:57,4,0,8.73,,,1
651,1,01/05/2013 11:13,4,0,0.00,,,0
612,1,0,0,0,0,,,0
415,0,0,0,0,0,,,0
717,1,05/24/2013 14:07,4,0,3.22,,,1
716,1,0,0,0,0,,,0
650,1,05/11/2013 19:00,1,0,1.38,,,0
408,1,0,0,0,0,,,0
518,1,0,0,0,0,,1,0
651,1,0,0,0,0,,,0
518,1,0,0,0,0,,,0
440,1,04/01/2013 20:07,1,0,0.00,,,1
315,1,05/08/2013 16:26,1,0,0.00,,,0
612,2,0,0,0,0,,,0
724,1,05/27/2013 10:48,13,31,30.52,,,0
908,1,06/01/2013 09:52,6,3,13.42,,,0
651,1,0,0,0,0,,,0
612,2,05/25/2013 17:08,5,0,48.60,,1,0
315,1,0,0,0,0,,,0
978,1,05/12/2013 09:24,16,0,8.33,,1,0
724,1,05/12/2013 16:08,7,27,4.85,,,0
651,1,0,0,0,0,,,0
206,1,0,0,0,0,,1,0
802,1,0,0,0,0,,,0
513,1,0,0,0,0,,,0
717,1,0,0,0,0,,,0
