Phone (Area Code Only),Group,Last Call,Times Called, Number of Texts, Total Talk Time (in Minutes), Starred, Photo, First Name Basis
630,0,05/31/2013 19:54,1,0,0.20,,,0
415,1,0,0,0,0,,1,0
415,1,06/05/2013 22:28,2,7,0.13,,1,1
510,0,0,0,9,0,,,0
415,1,06/05/2013 15:05,13,3,19.45,1,,0
415,0,0,0,0,0,,,0
415,1,0,0,2,0,,,0
415,1,0,0,0,0,,,1
818,0,0,0,0,0,,,0
415,1,0,0,2,0,,,1
415,1,06/05/2013 21:45,5,2,6.62,,1,1
415,1,0,0,0,0,,,1
209,1,06/04/2013 20:32,3,9,1.55,,,1
781,1,0,0,0,0,,,0
415,0,0,0,0,0,,,0
650,0,0,0,0,0,,,0
415,0,0,0,22,0,,,0
415,0,0,0,0,0,,,0
858,1,0,0,0,0,,,0
208,1,06/06/2013 12:09,18,20,16.43,,,0
510,0,0,0,0,0,,,0
415,1,0,0,0,0,,1,1
650,1,0,0,0,0,,1,0
415,0,0,0,0,0,,,0
415,1,0,0,0,0,,,0
510,0,0,0,10,0,,,0
415,1,0,0,2,0,,,0
415,1,0,0,0,0,,,0
415,1,0,0,0,0,,,1
949,1,0,0,0,0,,,0
650,0,0,0,0,0,,,0
925,1,0,0,0,0,,,0
415,0,0,0,0,0,,,0
415,0,0,0,0,0,,1,0
415,1,0,0,0,0,,,0
415,1,0,0,2,0,,,0
415,0,0,0,3,0,,,0
415,1,0,0,0,0,,,0
646,1,0,0,4,0.15,,,0
925,0,0,0,0,0,,,0
415,0,0,0,0,0,,,0
760,1,0,0,6,0,,,0
415,1,0,0,0,0,,,0
510,0,0,0,0,0,,,0
415,1,0,0,0,0,,1,0
415,0,0,0,0,0,,,0
415,1,0,0,0,0,,,1
415,0,0,0,0,0,,,0
415,1,0,0,0,0,,,1
415,1,06/05/2013 16:16,13,9,9.25,1,1,0
415,1,0,0,0,0,,,0
415,1,0,0,2,0,1,1,1
415,1,0,0,10,0,,,0
650,1,0,0,0,0,,,1
415,1,06/06/2013 10:59,3,2,1.48,,1,1
510,2,06/05/2013 15:55,6,6,16.08,,,0
831,0,0,0,0,4.57,,,0
415,1,0,0,0,0,,,1
415,1,0,0,6,0,,,1
415,0,0,0,0,0,,,0
415,1,0,0,0,0,,,0
415,1,0,0,0,0,,,1
415,0,0,0,0,0,,,0
415,1,0,0,5,0,,,1
415,1,0,0,0,0,,,0
415,1,0,0,0,0,,1,0
415,1,0,0,3,0,,,0
415,0,0,0,0,0,,,0
415,0,0,0,0,0,,,0
415,1,0,0,0,0,,,0
415,1,0,0,0,0,,,1
415,0,0,0,0,0,,,0
415,2,06/01/2013 11:38,5,0,2.53,,,1
415,0,0,0,0,0,,,0
415,1,06/05/2013 20:48,14,18,18.92,1,1,1
415,1,0,0,0,0,,,0
415,2,0,0,0,0,,,0
415,2,06/02/2013 14:32,4,0,2.35,1,1,0
650,0,0,0,31,0,,,0
519,1,0,0,0,0,,,0
415,1,0,0,0,0,,,0
415,1,0,0,0,0,,,1
415,1,0,0,0,0,,,0
847,1,06/05/2013 20:48,2,0,6.85,,,0
415,2,0,0,0,0,,,1
408,0,0,0,0,0,,,0
415,2,06/05/2013 18:31,7,25,8.62,,1,0
415,2,06/05/2013 22:24,26,48,34.55,1,1,0
415,1,0,0,0,0,,,0
415,0,0,0,0,0,,,0
415,2,0,0,0,0,,,1
415,1,0,0,0,0,,,0
415,1,0,0,0,0,,,0
415,1,0,0,0,0,,,0
337,1,0,0,0,0,,,0
925,1,05/30/2013 21:46,1,0,0.00,,1,0
415,0,0,0,0,0,,,0
415,1,0,0,0,0,,,1
415,1,0,0,0,0,,,1
415,1,06/01/2013 22:35,4,29,7.90,,1,1
415,1,0,0,0,0,,,0
415,1,0,0,27,0,,,0
415,0,0,0,0,0,,,0
415,0,0,0,0,0,,,0
415,1,0,0,0,0,,1,1
650,2,0,0,0,0,,,0
415,0,0,0,0,0,,,0
415,1,0,0,0,0,,1,0
209,1,0,0,0,0,,,0
415,0,06/03/2013 11:45,2,0,2.27,,,0
925,2,05/31/2013 10:19,1,0,43.28,,1,0
650,0,0,0,0,0,,,0
415,1,06/02/2013 18:05,5,0,3.58,1,1,1
415,2,0,0,0,0,,,0
415,0,0,0,0,0,,,0
415,1,0,0,0,0,,,0
415,0,06/05/2013 12:20,2,0,0.93,,,0
415,2,0,0,0,0,,1,0
718,0,0,0,0,0,,,0
415,0,0,0,0,0,,,0
415,1,0,0,2,0,,1,1
415,1,0,0,4,0,,,1
415,1,06/05/2013 15:50,11,55,11.07,,1,1
513,0,0,0,0,0,,1,0
415,0,0,0,0,0,,,0
415,0,0,0,0,0,,,0
415,0,0,0,3,0,,,0
415,1,0,0,0,0,,,1
415,0,0,0,0,0,,,0
415,1,0,0,4,0,,,1
415,1,0,0,0,0,,,0
650,1,0,0,0,0,,,0
415,0,0,0,0,0,,,0
415,1,0,0,0,0,,,0
415,1,0,0,0,0,,,0
