Phone (Area Code Only),Group,Last Call,Times Called, Number of Texts, Total Talk Time (in Minutes), Starred, Photo, First Name Basis
415,1,0,0,0,0,,,0
216,1,0,0,3,0,,,1
415,0,05/31/2013 17:20,8,0,5.57,,,0
909,1,12/12/2012 15:00,1,16,0,,,1
530,1,0,0,0,0,,,1
415,1,02/25/2013 17:12,3,44,1.63,,,1
821,2,0,0,0,0,,,1
804,2,06/05/2013 01:08,96,116,131.40,,,0
561,1,0,0,0,0,,,1
804,2,03/12/2013 16:17,4,0,42.47,1,,0
415,2,03/30/2013 16:27,44,194,13.53,1,1,1
804,1,03/26/2013 15:33,5,14,44.73,1,1,0
888,0,0,0,0,0,,,1
800,0,11/19/2012 21:56,1,0,0,,,1
707,1,0,0,0,0,,,1
804,2,06/03/2013 16:28,44,200,110.75,1,1,1
406,0,0,0,0,0,,,0
804,0,02/15/2013 10:31,4,0,0,,,0
415,1,11/23/2012 18:41,3,87,0,,1,0
804,2,02/15/2013 23:44,131,116,131.40,1,1,1
650,0,02/08/2013 18:26,2,0,0,,,0
804,2,05/28/2013 18:30,3,0,28.63,1,,1
804,2,05/25/2013 12:20,1,3,6.35,,,0
415,1,05/03/2013 23:44,9,200,7.35,,,1
804,0,0,0,0,0,,,0
415,0,0,0,0,0,,,0
804,2,01/15/2013 17:18,4,0,0,,,1
408,1,12/20/2012 23:30,5,33,0.00,,,1
415,1,05/12/2013 14:02,14,200,0.22,,1,0
951,1,0,0,0,0,,,1
804,2,05/31/2013 15:42,19,0,118.33,1,,1
804,1,0,0,0,0,,,1
415,0,02/21/2013 12:28,9,0,2.08,,,0
415,0,01/04/2013 10:47,7,0,0,,,0
415,1,05/18/2013 14:54,2,30,26.63,,,0
510,1,0,0,0,0,,,1
510,1,0,0,0,0,,,1
415,0,0,0,0,0,,,0
415,1,03/20/2013 12:09,2,50,0.00,,,1
415,0,03/01/2013 10:22,3,0,2.93,,,0
415,1,11/21/2012 12:23,1,108,0.00,,1,1
415,1,0,0,0,0,,,1
415,1,0,0,2,0.68,,,0
804,2,06/04/2013 19:53,113,200,620.67,1,,1
650,0,06/05/2013 07:47,12,62,6.25,,,0
703,2,12/11/2012 11:29,1,54,0.00,,,0
817,1,0,0,0,0,,,0
804,1,0,0,0,0,,,0
510,1,0,0,0,0,,,1
800,0,03/25/2013 12:10,5,0,0.00,,,0
630,1,0,0,2,0.00,,,0
804,2,05/14/2013 18:00,5,0,0.03,1,,1
415,0,01/24/2013 11:23,1,0,0,,,0
415,1,02/20/2013 15:41,1,2,0.00,,,0
415,0,0,0,0,0,,,1
415,0,04/12/2013 07:54,3,0,0.57,,,0
800,0,11/23/2012 15:26,3,0,0,,,0
804,1,05/28/2013 12:19,35,200,15.77,,,1
415,1,11/16/2012 19:00,1,15,0,,,0
510,1,0,0,0,0,,,1
252,0,0,0,0,0,,,1
641,1,0,0,0,0,,,1
804,1,0,0,37,0.00,,,1
336,2,0,0,0,0,,,0
843,1,0,0,0,0,,,0
804,1,01/14/2013 17:41,1,14,0.00,,,1
804,1,0,0,0,0,,,1
800,0,05/16/2013 20:21,11,0,70.48,,,0
415,1,0,0,0,0,,,0
415,0,0,0,0,0,,,0
202,1,11/10/2012 00:00,1,34,0.87,,1,1
415,0,0,0,0,0,,,0
