Phone (Area Code Only),Group,Last Call,Times Called, Number of Texts, Total Talk Time (in Minutes), Starred, Photo, First Name Basis
714,1,0,0,0,0,,1,0
805,1,0,0,0,0,,1,0
206,1,0,0,0,0,,1,0
925,0,0,0,0,0,,,1
510,1,05/17/2013 19:26,2,0,1.15,,1,0
925,0,0,0,0,0,,1,0
805,0,0,0,0,0,,1,0
509,0,0,0,0,7.83,,,0
515,0,0,0,0,0,,,1
714,0,0,0,0,0,,1,0
925,0,0,0,0,0,,,1
925,1,0,0,0,0,,1,0
909,2,0,0,0,0,,,1
800,0,0,0,0,0,,,0
925,0,06/05/2013 18:00,21,0,0,,1,0
714,0,0,0,0,0,,,0
980,2,0,0,0,0,,,0
408,1,0,0,19,0.73,,1,0
408,1,0,0,0,0,,1,0
908,1,0,0,10,0,,,0
925,0,0,0,0,0,,,1
732,1,0,0,0,0,,,0
925,2,0,0,0,3.70,,,0
925,1,0,0,0,0,,1,0
661,1,0,0,0,0,,1,0
858,0,0,0,0,0,,,1
925,0,0,0,0,0,,1,0
646,0,0,0,0,0,,1,0
415,1,0,0,0,0,,,0
925,2,06/05/2013 19:59,31,1,158.98,,,1
630,1,0,0,0,0,,1,0
805,1,0,0,0,0,,1,0
714,0,0,0,0,0,,,0
925,1,0,0,0,0,,1,0
925,0,0,0,0,0,,,1
510,0,0,0,0,0,,,0
831,0,0,0,0,0,,1,0
916,1,0,0,12,0,,1,0
909,2,0,0,0,0,,,1
925,0,0,0,0,0,,1,0
909,2,0,0,0,0,,1,0
925,0,0,0,0,0,,,1
415,0,0,0,0,0,,1,0
626,1,05/05/2013 16:02,1,0,0.18,,,1
916,1,0,0,0,0,,1,0
626,1,0,0,0,0.18,,1,0
925,1,05/26/2013 13:26,3,6,1.02,,,1
980,2,0,0,0,0,,,0
925,0,0,0,0,0,,1,0
310,0,0,0,0,0,,1,0
510,1,0,0,0,0,,1,0
925,1,0,0,0,0,,,0
212,0,0,0,0,0,,,1
925,0,0,0,0,0,,,1
