common_friends,common_likes,fid_posts,friend_responses,friend_posts,fid_responses,vote
0,0,230,1,57,0,1
9,0,232,0,3,0,1
0,1,230,0,184,0,1
0,0,231,1,73,1,0
14,0,232,0,4,0,1
11,0,232,0,10,0,1
3,0,232,0,17,0,1
3,0,232,5,7,0,0
18,0,232,0,5,0,0
3,0,197,0,3,0,1
1,0,232,0,0,0,1
0,0,230,3,437,0,0
4,1,232,0,24,0,1
5,0,231,0,64,0,1
17,0,231,5,144,1,0
13,0,231,1,2,1,0
9,0,232,0,3,0,1
10,2,230,0,102,0,1
11,0,232,0,5,0,0
8,0,232,0,26,0,1
12,0,57,0,109,0,1
9,0,232,0,5,0,1
7,0,232,2,9,0,0
6,0,230,0,47,0,1
2,0,232,0,13,0,1
4,0,231,3,301,0,0
11,0,232,13,210,0,0
2,0,231,1,39,0,0
9,0,232,0,0,0,1
10,0,227,0,6,0,1
0,0,230,1,595,0,0
10,0,232,1,201,0,0
2,0,232,0,0,0,1
10,0,88,0,16,0,0
4,2,230,10,709,1,0
1,1,230,0,352,0,1
4,0,232,0,26,0,1
10,0,232,1,19,0,1
6,1,232,4,158,0,0
14,0,232,0,4,0,1
2,0,231,0,1,0,1
0,0,232,0,8,0,0
5,0,231,1,226,0,0
1,0,231,0,28,0,1
1,1,230,1,1778,0,0
9,0,113,0,2,0,1
6,0,231,12,206,1,0
12,1,232,0,157,0,0
3,0,232,0,0,0,1
10,0,232,0,11,0,1
0,0,232,0,32,1,1
9,0,231,0,61,0,1
8,1,232,2,29,0,0
5,1,232,0,27,0,1
11,1,231,2,65,0,0
3,0,161,0,13,0,1
0,0,232,0,0,0,1
14,1,232,0,123,0,1
10,0,230,0,33,0,0
4,1,231,0,135,0,1
1,0,37,0,1,0,0
2,1,231,4,521,1,0
12,0,232,3,33,1,0
5,3,232,0,22,0,1
2,1,231,0,77,0,0
8,0,232,0,1,0,1
7,1,232,2,51,0,0
18,0,232,0,72,1,1
0,0,232,1,6,0,1
7,1,231,0,34,0,1
6,1,232,0,7,0,1
0,0,231,1,130,0,1
5,0,231,0,142,0,1
17,1,232,0,18,0,1
2,0,232,0,11,0,1
6,2,231,0,57,0,0
9,1,232,0,30,0,0
5,0,231,27,40,0,0
4,2,232,0,34,0,0
6,0,232,0,13,0,1
1,1,230,4,522,0,0
10,0,232,1,16,0,0
1,0,231,0,74,0,1
5,2,230,0,700,0,0
1,1,231,0,70,0,0
11,4,230,0,109,1,0
10,0,232,0,10,0,1
5,0,230,0,2163,0,0
18,0,232,4,15,1,0
9,0,232,0,0,0,1
3,0,232,0,2,0,1
9,0,231,0,365,0,0
1,3,231,9,997,0,0
16,0,232,0,1,0,1
7,1,231,3,65,0,0
2,0,232,0,21,0,1
9,0,232,0,26,0,1
5,0,231,2,61,0,0
2,1,231,5,94,0,0
8,1,231,2,87,0,0
1,0,232,0,41,0,0
11,0,16,2,0,0,0
9,0,232,0,0,0,1
18,0,232,1,36,0,1
13,1,232,0,32,0,0
14,0,231,0,54,0,1
3,2,232,0,5,0,1
0,0,232,4,34,0,0
7,0,38,0,0,0,1
