Country,Income level,Debt service ratio,Currency rating
Australia,High,10.1,(2) AA
Brazil,Middle,31,(5) BB
Canada,High,0,(2) AA
Chile,Middle,15.8,(3) A
Colombia,Middle,26.7,(5) BB
Costa Rica,Middle,7.4,(5) BB
Czech Republic,Middle,8.9,(3) A
Dominican Republic,Middle,6.7,(5) BB
Ecuador,Middle,25.5,(7) CCC
Egypt,Middle,7.2,(4) BBB
Guatemala,Middle,8,(5) BB
Hungary,Middle,12.9,(3) A
India,Low,19,(5) BB
Indonesia,Low,40,(7) CCC
Korea,Middle,23,(4) BBB
Malaysia,Middle,4.7,(4) BBB
Mexico,Middle,11,(4) BBB
Morocco,Middle,20.8,(5) BB
Pakistan,Low,26.1,(6) B
Paraguay,Middle,8,(6) B
Peru,Middle,24.6,(5) BB
Philippines,Middle,12.2,(5) BB
Poland,Middle,14.8,(4) BBB
Russia,Middle,9.6,(6) B
Singapore,High,0,(1) AAA
Slovenia,High,9.1,(3) A
Thailand,Low,14.9,(4) BBB
Turkey,Middle,35.7,(6) B
United Kingdom,High,0,(1) AAA
United States,High,0,(1) AAA
Venezuela,Middle,15.2,(6) B
