Year,Pitcher,League,Type,Wins,Win pct,Saves,ERA,Strikeouts,Innings pitched,Cy Young
1993,P. Hentgen,AL,Starter,19,0.67857,0,3.87,215,216.3,0
1993,R. Johnson,AL,Starter,19,0.7037,1,3.24,185,255.3,0
1993,J. McDowell,AL,Starter,22,0.6875,0,3.37,261,256.7,1
1993,J. Montgomery,AL,Reliever,7,0.58333,45,2.27,65,87.3,0
1993,D. Ward,AL,Reliever,2,0.4,45,2.13,49,71.7,0
1993,J. Burkett,NL,Starter,22,0.75862,0,3.65,224,231.7,0
1993,T. Glavine,NL,Starter,22,0.78571,0,3.2,236,239.3,0
1993,G. Maddux,NL,Starter,20,0.66667,0,2.36,228,267,1
1993,R. Beck,NL,Reliever,3,0.75,48,2.16,57,79.3,0
1993,R. Myers,NL,Reliever,2,0.33333,53,3.11,65,75.3,0
1995,R. Johnson,AL,Starter,18,0.9,0,2.48,159,214.3,1
1995,M. Mussina,AL,Starter,19,0.67857,0,3.29,187,221.7,0
1995,J. Mesa,AL,Reliever,3,1,46,1.13,49,64,0
1995,L. Smith,AL,Reliever,0,0,37,3.47,42,49.3,0
1995,G. Maddux,NL,Starter,19,0.90476,0,1.63,147,209.7,1
1995,P. Schourek,NL,Starter,18,0.72,0,3.22,158,190.3,0
1995,T. Henke,NL,Reliever,1,0.5,36,1.82,42,54.3,0
1995,R. Myers,NL,Reliever,1,0.33333,38,3.88,49,55.7,0
1996,P. Hentgen,AL,Starter,20,0.66667,0,3.22,238,265.7,1
1996,A. Pettitte,AL,Starter,21,0.72414,0,3.87,229,221,0
1996,J. Mesa,AL,Reliever,2,0.22222,39,3.73,69,72.3,0
1996,J. Wetteland,AL,Reliever,2,0.4,43,2.83,54,63.7,1
1996,A. Benes,NL,Starter,18,0.64286,1,3.83,215,230.3,0
1996,J. Smoltz,NL,Starter,24,0.75,0,2.94,199,253.7,1
1996,J. Brantley,NL,Reliever,1,0.33333,44,2.41,54,71,0
1996,T. Worrell,NL,Reliever,4,0.4,44,3.03,70,65.3,0
1997,R. Clemens,AL,Starter,21,0.75,0,2.05,292,264,1
1997,R. Johnson,AL,Starter,20,0.833333,0,2.28,291,213,0
1997,B. Radke,AL,Starter,20,0.666667,0,3.87,174,239.2,0
1997,M. Rivera,AL,Reliever,6,0.6,43,1.88,68,71.2,0
1997,R. Myers,AL,Reliever,2,0.4,45,1.51,56,59.2,0
1997,S. Estes,NL,Starter,19,0.791667,0,3.18,181,201,0
1997,D. Kile,NL,Starter,19,0.730769,0,2.57,205,255.66,0
1997,G. Maddux,NL,Starter,19,0.826087,0,2.2,177,232.66,0
