Political system,Age,Time of survey,Schooling,Region,Count
Very poorly,19-29,1991,Basic incomplete,West Germany,1
Very poorly,19-29,1991,Basic,West Germany,5
Very poorly,19-29,1991,Medium,West Germany,10
Very poorly,19-29,1991,Upper medium,West Germany,3
Very poorly,19-29,1991,Intensive,West Germany,8
Very poorly,19-29,1991,Basic incomplete,East Germany,0
Very poorly,19-29,1991,Basic,East Germany,0
Very poorly,19-29,1991,Medium,East Germany,2
Very poorly,19-29,1991,Upper medium,East Germany,0
Very poorly,19-29,1991,Intensive,East Germany,2
Poorly,19-29,1991,Basic incomplete,West Germany,3
Poorly,19-29,1991,Basic,West Germany,63
Poorly,19-29,1991,Medium,West Germany,88
Poorly,19-29,1991,Upper medium,West Germany,22
Poorly,19-29,1991,Intensive,West Germany,78
Poorly,19-29,1991,Basic incomplete,East Germany,2
Poorly,19-29,1991,Basic,East Germany,13
Poorly,19-29,1991,Medium,East Germany,103
Poorly,19-29,1991,Upper medium,East Germany,6
Poorly,19-29,1991,Intensive,East Germany,29
Well,19-29,1991,Basic incomplete,West Germany,1
Well,19-29,1991,Basic,West Germany,25
Well,19-29,1991,Medium,West Germany,18
Well,19-29,1991,Upper medium,West Germany,5
Well,19-29,1991,Intensive,West Germany,9
Well,19-29,1991,Basic incomplete,East Germany,1
Well,19-29,1991,Basic,East Germany,5
Well,19-29,1991,Medium,East Germany,53
Well,19-29,1991,Upper medium,East Germany,1
Well,19-29,1991,Intensive,East Germany,12
Very well,19-29,1991,Basic incomplete,West Germany,2
Very well,19-29,1991,Basic,West Germany,2
Very well,19-29,1991,Medium,West Germany,0
Very well,19-29,1991,Upper medium,West Germany,0
Very well,19-29,1991,Intensive,West Germany,1
Very well,19-29,1991,Basic incomplete,East Germany,0
Very well,19-29,1991,Basic,East Germany,0
Very well,19-29,1991,Medium,East Germany,4
Very well,19-29,1991,Upper medium,East Germany,0
Very well,19-29,1991,Intensive,East Germany,3
Very poorly,30-44,1991,Basic incomplete,West Germany,0
Very poorly,30-44,1991,Basic,West Germany,24
Very poorly,30-44,1991,Medium,West Germany,17
Very poorly,30-44,1991,Upper medium,West Germany,3
Very poorly,30-44,1991,Intensive,West Germany,11
Very poorly,30-44,1991,Basic incomplete,East Germany,0
Very poorly,30-44,1991,Basic,East Germany,3
Very poorly,30-44,1991,Medium,East Germany,7
Very poorly,30-44,1991,Upper medium,East Germany,0
Very poorly,30-44,1991,Intensive,East Germany,1
Poorly,30-44,1991,Basic incomplete,West Germany,1
Poorly,30-44,1991,Basic,West Germany,135
Poorly,30-44,1991,Medium,West Germany,89
Poorly,30-44,1991,Upper medium,West Germany,26
Poorly,30-44,1991,Intensive,West Germany,68
Poorly,30-44,1991,Basic incomplete,East Germany,3
Poorly,30-44,1991,Basic,East Germany,39
Poorly,30-44,1991,Medium,East Germany,198
Poorly,30-44,1991,Upper medium,East Germany,7
Poorly,30-44,1991,Intensive,East Germany,52
Well,30-44,1991,Basic incomplete,West Germany,1
Well,30-44,1991,Basic,West Germany,34
Well,30-44,1991,Medium,West Germany,14
Well,30-44,1991,Upper medium,West Germany,1
Well,30-44,1991,Intensive,West Germany,10
Well,30-44,1991,Basic incomplete,East Germany,4
Well,30-44,1991,Basic,East Germany,27
Well,30-44,1991,Medium,East Germany,86
Well,30-44,1991,Upper medium,East Germany,7
Well,30-44,1991,Intensive,East Germany,17
Very well,30-44,1991,Basic incomplete,West Germany,0
Very well,30-44,1991,Basic,West Germany,2
Very well,30-44,1991,Medium,West Germany,1
Very well,30-44,1991,Upper medium,West Germany,0
Very well,30-44,1991,Intensive,West Germany,1
Very well,30-44,1991,Basic incomplete,East Germany,1
Very well,30-44,1991,Basic,East Germany,7
Very well,30-44,1991,Medium,East Germany,9
Very well,30-44,1991,Upper medium,East Germany,0
Very well,30-44,1991,Intensive,East Germany,1
Very poorly,45-59,1991,Basic incomplete,West Germany,0
Very poorly,45-59,1991,Basic,West Germany,26
Very poorly,45-59,1991,Medium,West Germany,4
Very poorly,45-59,1991,Upper medium,West Germany,2
Very poorly,45-59,1991,Intensive,West Germany,5
Very poorly,45-59,1991,Basic incomplete,East Germany,0
Very poorly,45-59,1991,Basic,East Germany,4
Very poorly,45-59,1991,Medium,East Germany,0
Very poorly,45-59,1991,Upper medium,East Germany,0
Very poorly,45-59,1991,Intensive,East Germany,2
Poorly,45-59,1991,Basic incomplete,West Germany,2
Poorly,45-59,1991,Basic,West Germany,120
Poorly,45-59,1991,Medium,West Germany,62
Poorly,45-59,1991,Upper medium,West Germany,17
Poorly,45-59,1991,Intensive,West Germany,29
Poorly,45-59,1991,Basic incomplete,East Germany,14
Poorly,45-59,1991,Basic,East Germany,134
Poorly,45-59,1991,Medium,East Germany,50
Poorly,45-59,1991,Upper medium,East Germany,5
Poorly,45-59,1991,Intensive,East Germany,32
Well,45-59,1991,Basic incomplete,West Germany,1
Well,45-59,1991,Basic,West Germany,27
Well,45-59,1991,Medium,West Germany,10
Well,45-59,1991,Upper medium,West Germany,2
