Title,Year,Length,Violence time,Injuries,Fatal injuries,Good/neutral injuries,Good/neutral fatalities,Bad injuries,Bad fatalities
Snow White and the Seven Dwarfs,1937,5040,474,2,1,1,0,1,1
Fantasia,1940,7200,307,1,1,1,1,0,0
Pinocchio,1940,5280,432,1,0,1,0,0,0
Dumbo,1941,3780,75,0,0,0,0,0,0
Bambi,1942,4140,252,2,1,2,1,0,0
The Three Caballeros,1945,4260,210,0,0,0,0,0,0
Fun and Fancy Free,1947,4380,552,0,0,0,0,0,0
The Adventures of Ichabod and Mr. Toad,1949,4080,527,0,0,0,0,0,0
Cinderella,1950,4560,273,1,1,0,0,1,1
Alice in Wonderland,1951,4440,316,0,0,0,0,0,0
Peter Pan,1953,4560,863,2,1,1,0,1,1
Lady and the Tramp,1955,4560,351,3,1,2,0,1,1
Sleeping Beauty,1959,4500,599,1,1,0,0,1,1
101 Dalmations,1961,4740,492,0,0,0,0,0,0
The Sword in the Stone,1963,4740,1012,0,0,0,0,0,0
The Jungle Book,1967,4680,676,3,0,3,0,0,0
A Boy Named Charlie Brown,1969,5100,109,0,0,0,0,0,0
The Aristocats,1970,4740,354,0,0,0,0,0,0
Snoopy Come Home,1972,4800,500,1,0,1,0,0,0
Charlotte's Web,1973,5640,164,0,0,0,0,0,0
Robin Hood,1973,4980,814,0,0,0,0,0,0
The Many Adventures of Winnie the Pooh,1977,4980,65,0,0,0,0,0,0
The Rescuers,1977,4560,675,0,0,0,0,0,0
The Fox and the Hound,1981,4980,717,3,1,2,1,1,0
The Last Unicorn,1982,5100,743,5,3,3,1,2,2
The Secret of NIMH,1982,5200,522,4,3,3,2,1,1
The Care Bears Movie,1985,4680,471,0,0,0,0,0,0
An American Tail,1986,4860,701,0,0,0,0,0,0
The Great Mouse Detective,1986,4380,798,2,2,0,0,2,2
The Land Before Time,1988,4140,484,3,2,1,1,2,1
Oliver and Company,1988,4440,293,6,3,2,0,4,3
All Dogs Go to Heaven,1989,5340,554,5,3,3,2,2,1
Kiki's Delivery Service,1989,6180,35,0,0,0,0,0,0
The Little Mermaid,1989,4980,517,2,1,1,0,1,1
Duck Tales: The Movie,1990,4440,494,1,1,0,0,1,1
Happily Ever After,1990,4440,1071,5,3,2,0,3,3
Jetsons: The Movie,1990,4920,221,3,0,3,0,0,0
The Nutcracker Prince,1990,4440,428,5,2,2,0,3,2
The Rescuers Down Under,1990,4620,673,1,1,0,0,1,1
An American Tail: Fievel Goes West,1991,4500,873,0,0,0,0,0,0
Beauty and the Beast,1991,5040,786,3,1,2,0,1,1
The Princess and the Goblin,1991,4920,659,3,2,1,0,2,2
Aladdin,1992,5400,968,1,1,1,1,0,0
Fern Gully: The Last Rainforest,1992,4560,475,0,0,0,0,0,0
Little Nemo: Adventures in Slumberland,1992,5100,578,3,2,1,0,2,2
Tom and Jerry: The Movie,1992,5040,501,1,0,1,0,0,0
My Neighbor Totoro,1993,5160,6,0,0,0,0,0,0
Once Upon a Forest,1993,4260,300,2,2,2,2,0,0
We're Back! A Dinosaur's Story,1993,4260,479,0,0,0,0,0,0
The Lion King,1994,5280,838,2,2,1,1,1,1
The Pagemaster,1994,4560,836,0,0,0,0,0,0
The Swan Princess,1994,5400,788,9,2,8,1,1,1
Thumbelina,1994,5160,410,1,0,1,0,0,0
The Troll in Central Park,1994,4560,900,0,0,0,0,0,0
Arabian Knight,1995,4380,542,2,2,1,1,1,1
Balto,1995,4680,338,1,0,0,0,1,0
A Goofy Movie,1995,4680,127,0,0,0,0,0,0
Gumby: The Movie,1995,5400,990,1,0,1,0,0,0
The Pebble and the Penguin,1995,4440,1026,1,1,0,0,1,1
Pocahontas,1995,4860,323,3,1,3,1,0,0
Toy Story,1995,4860,246,0,0,0,0,0,0
All Dogs Go to Heaven 2,1996,4920,800,0,0,0,0,0,0
The Hunchback of Notre Dame,1996,5400,1006,5,2,4,1,1,1
Anastasia,1997,5640,630,3,2,1,0,2,2
Babes in Toyland,1997,4440,704,3,1,2,0,1,1
Cats Don't Dance,1997,4620,311,0,0,0,0,0,0
Hercules,1997,5520,974,3,2,1,0,2,2
Pippi Longstocking,1997,4680,172,0,0,0,0,0,0
The Swan Princess 2,1997,4320,932,3,2,1,0,2,2
A Bug's Life,1998,5700,1098,3,1,2,0,1,1
Mulan,1998,5280,986,5,2,3,0,2,2
Quest for Camelot,1998,5160,1447,3,2,2,1,1,1
The Rugrats Movie,1998,4860,492,0,0,0,0,0,0
The King and I,1999,5340,855,2,0,2,0,0,0
