Player,Number seasons,Games played,At bats,Runs,Hits,Doubles,Triples,Home runs,RBIs,Walks,Strikeouts,Batting average,On base pct,Slugging pct,Fielding ave,Position,Hall of Fame
HANK AARON,23,3298,12364,2174,3771,624,98,755,2297,1402,1383,0.305,0.377,0.555,0.98,Outfield,1
JERRY ADAIR,13,1165,4019,378,1022,163,19,57,366,208,499,0.254,0.294,0.347,0.985,Second base,0
SPARKY ADAMS,13,1424,5557,844,1588,249,48,9,394,453,223,0.286,0.343,0.353,0.974,Second base,0
BOBBY ADAMS,14,1281,4019,591,1082,188,49,37,303,414,447,0.269,0.34,0.368,0.955,Third base,0
JOE ADCOCK,17,1959,6606,823,1832,295,35,336,1122,594,1059,0.277,0.339,0.485,0.994,First base,0
TOMMIE AGEE,12,1129,3912,558,999,170,27,130,433,342,918,0.255,0.321,0.412,0.975,Outfield,0
LUIS AGUAYO,10,568,1104,142,260,43,10,37,109,94,220,0.236,0.307,0.393,0.96,Shortstop,0
EDDIE AINSMITH,15,1078,3048,299,707,108,54,22,317,263,315,0.232,0.296,0.324,0.966,Catcher,0
BERNIE ALLEN,12,1139,3404,357,815,140,21,73,351,370,424,0.239,0.315,0.357,0.98,Second base,0
ETHAN ALLEN,13,1281,4418,623,1325,255,45,47,501,223,310,0.3,0.336,0.41,0.981,Outfield,0
DICK ALLEN,15,1749,6332,1099,1848,320,79,351,1119,894,1556,0.292,0.381,0.534,0.989,First base,0
GENE ALLEY,11,1195,3927,442,999,140,44,55,342,300,622,0.254,0.312,0.354,0.97,Shortstop,0
BOB ALLISON,13,1541,5032,811,1281,216,53,256,796,795,1033,0.255,0.36,0.471,0.975,Outfield,0
BILL ALMON,15,1236,3330,390,846,138,25,36,296,250,636,0.254,0.307,0.343,0.956,Shortstop,0
SANDY ALOMAR,15,1481,4760,558,1168,126,19,13,282,302,482,0.245,0.291,0.288,0.977,Second base,0
FELIPE ALOU,17,2082,7339,985,2101,359,49,206,852,423,706,0.286,0.33,0.433,0.979,Outfield,0
JESUS ALOU,15,1380,4345,448,1216,170,26,32,377,138,267,0.28,0.307,0.353,0.968,Outfield,0
MATTY ALOU,15,1667,5789,780,1777,236,50,31,427,311,377,0.307,0.346,0.381,0.979,Outfield,0
JOEY AMALFITANO,10,643,1715,248,418,67,19,9,123,185,224,0.244,0.322,0.321,0.97,Second base,0
RUBEN AMARO,11,940,2155,211,505,75,13,8,156,227,280,0.234,0.31,0.292,0.967,Shortstop,0
DAVE ANDERSON,10,873,2026,244,490,73,12,19,143,206,331,0.242,0.313,0.318,0.97,Shortstop,0
JOHN ANDERSON,14,1635,6341,870,1841,328,124,49,976,310,55,0.29,0.328,0.404,1,Outfield,0
CAP ANSON,22,2276,9101,1719,2995,528,124,97,1879,952,294,0.329,0.395,0.446,0.974,First base,2
LUIS APARICIO,18,2599,10230,1335,2677,394,92,83,791,736,742,0.262,0.313,0.343,0.972,Shortstop,1
LUKE APPLING,20,2422,8856,1319,2749,440,102,45,1116,1302,528,0.31,0.399,0.398,0.948,Shortstop,1
JIMMY ARCHER,12,847,2646,246,660,106,33,17,296,124,241,0.249,0.288,0.334,0.971,Catcher,0
TONY ARMAS,14,1432,5164,614,1302,204,39,251,815,260,1201,0.252,0.29,0.453,0.981,Outfield,0
RICHIE ASHBURN,15,2189,8365,1322,2574,317,109,29,586,1198,571,0.308,0.397,0.382,0.983,Outfield,2
ALAN ASHBY,17,1370,4123,397,1010,183,13,90,513,461,622,0.245,0.323,0.361,0.986,Catcher,0
BOB ASPROMONTE,13,1324,4369,386,1103,135,26,60,457,333,459,0.252,0.31,0.336,0.96,Third base,0
JOE ASTROTH,10,544,1579,163,401,51,10,13,156,177,124,0.254,0.334,0.324,0.987,Catcher,0
RICK AUERBACH,11,624,1407,167,309,56,5,9,86,127,198,0.22,0.287,0.286,0.96,Shortstop,0
JIMMY AUSTIN,18,1580,5388,661,1328,174,76,13,390,592,363,0.246,0.326,0.314,0.933,Third base,0
EARL AVERILL,13,1668,6353,1224,2019,401,128,238,1164,774,518,0.318,0.395,0.534,0.97,Outfield,2
BOBBY AVILA,11,1300,4620,725,1296,185,35,80,467,561,399,0.281,0.36,0.388,0.979,Second base,0
BENNY AYALA,10,425,865,114,217,42,1,38,145,71,136,0.251,0.309,0.434,0.958,Outfield,0
JOE AZCUE,11,909,2828,201,712,94,9,50,304,207,344,0.252,0.307,0.344,0.992,Catcher,0
ED BAILEY,14,1212,3581,432,915,128,15,155,540,545,577,0.256,0.358,0.429,0.986,Catcher,0
BOB BAILEY,17,1931,6082,772,1564,234,43,189,773,852,1126,0.257,0.35,0.403,0.946,Third base,0
BOB BAILOR,11,955,2937,339,775,107,23,9,222,187,164,0.264,0.312,0.325,0.98,Outfield,0
FLOYD BAKER,13,874,2280,285,573,76,13,1,196,382,165,0.251,0.36,0.297,0.971,Third base,0
FRANK BAKER,13,1575,5984,887,1838,315,103,96,987,473,182,0.307,0.363,0.442,0.943,Third base,2
DUSTY BAKER,19,2039,7117,964,1981,320,23,242,1013,762,926,0.278,0.351,0.432,0.985,Outfield,0
DAVE BANCROFT,16,1913,7182,1048,2004,320,77,32,591,827,487,0.279,0.355,0.358,0.944,Shortstop,2
SAL BANDO,16,2019,7060,982,1790,289,38,242,1039,1031,923,0.254,0.355,0.408,0.959,Third base,0
ERNIE BANKS,19,2528,9421,1305,2583,407,90,512,1636,763,1236,0.274,0.333,0.5,0.994,First base,1
ALAN BANNISTER,12,972,3007,430,811,143,28,19,288,292,318,0.27,0.337,0.355,0.983,Outfield,0
JESSE BARFIELD,12,1428,4759,715,1219,216,30,241,716,551,1234,0.256,0.338,0.466,0.98,Outfield,0
JIMMY BARRETT,10,866,3306,580,962,83,47,16,255,440,.,0.291,0.379,0.359,0.954,Outfield,0
MARTY BARRETT,10,941,3378,418,938,163,9,18,314,304,209,0.278,0.34,0.347,0.986,Second base,0
SHAD BARRY,10,1100,4014,516,1073,128,47,10,391,279,.,0.267,0.32,0.33,0.955,Outfield,0
JACK BARRY,11,1223,4146,532,1009,142,38,10,429,396,142,0.243,0.321,0.303,0.935,Shortstop,0
DICK BARTELL,18,2016,7629,1130,2165,442,71,79,710,748,627,0.284,0.355,0.391,0.953,Shortstop,0
