Group,Digit,Count
Psychology,0,375
Science,0,199
Arts,0,89
Advanced,0,128
Psychology,1,637
Science,1,316
Arts,1,149
Advanced,1,183
Psychology,2,676
Science,2,314
Arts,2,144
Advanced,2,199
Psychology,3,709
Science,3,307
Arts,3,135
Advanced,3,187
Psychology,4,607
Science,4,270
Arts,4,140
Advanced,4,177
Psychology,5,522
Science,5,243
Arts,5,117
Advanced,5,152
Psychology,6,534
Science,6,265
Arts,6,112
Advanced,6,159
Psychology,7,573
Science,7,291
Arts,7,135
Advanced,7,178
Psychology,8,515
Science,8,265
Arts,8,117
Advanced,8,169
Psychology,9,552
Science,9,305
Arts,9,137
Advanced,9,168
