Film,Roger Ebert,Jeffrey Lyons,Michael Medved,Rex Reed,Gene Shalit,Joel Siegel,Gene Siskel,Peter Travers
101 DALMATIONS,,Pro,Mixed,Pro,,Pro,,Mixed
12 MONKEYS,Pro,Con,Con,Con,,Pro,Mixed,
2 DAYS IN THE VALLEY,,Pro,Con,Con,,,,Mixed
A FAMILY THING,Pro,Mixed,Mixed,Pro,Pro,,Pro,Mixed
A GOOFY MOVIE,Pro,,,,,,Pro,
A MIDWINTER'S TALE,Pro,Pro,,,,,Pro,Mixed
A MONTH BY THE LAKE,Pro,Pro,,Pro,,,,Mixed
A REASON TO BELIEVE,,,,Pro,,,,Con
A THIN LINE BETWEEN LOVE&HATE,Mixed,Con,,Con,,,,Con
A TIME TO KILL,,Pro,Mixed,Mixed,,,Mixed,Mixed
A VERY BRADY SEQUEL,Mixed,,Con,,,,Pro,Mixed
ABSOLUTE POWER,Pro,Pro,Con,Con,Mixed,Pro,Mixed,Pro
ACE VENTURA:WHEN NATURE CALLS,Con,,,,,Con,Con,Con
ALASKA,Pro,Pro,Mixed,Pro,,Con,Con,
ALBINO ALLIGATOR,Mixed,Con,Pro,,,,,Mixed
AMERICAN BUFFALO,Mixed,,,,,Pro,,Mixed
ANGEL BABY,,Mixed,,Pro,,,,
ANGELS & INSECTS,Pro,Mixed,Pro,Pro,,,,Pro
ANGUS,Pro,,,,,,Mixed,Mixed
ANNE FRANK REMEMBERED,,Pro,,,,,,Pro
ASSASSINS,Con,Con,Pro,,,Mixed,Con,Con
AUGUST,,Mixed,,,,,,Mixed
BAD BOYS,Con,,,,,,Con,Mixed
BALTO,Pro,Pro,Pro,,,Mixed,Con,
BARB WIRE,,Con,,,,,,Con
BASQUIAT,,Pro,,Con,,Pro,,Pro
BEAUTIFUL GIRLS,Pro,Mixed,Pro,Con,,,,Mixed
BEAUTIFUL THING,,Mixed,,Pro,,,,Pro
BEAVIS&BUTTHEAD DO AMERICA,,,,,,Con,,Mixed
BED OF ROSES,Mixed,Con,Con,Pro,,,,
BEFORE AND AFTER,Mixed,Mixed,,Con,Con,Con,Con,Con
BIG NIGHT,,,Pro,Pro,,Pro,,Pro
BLACK SHEEP,,Con,,,,Con,,Con
BLOOD AND WINE,,Pro,Con,Con,,Pro,,Mixed
BLUE IN THE FACE,Mixed,Mixed,,Con,,Pro,,Con
BOGUS,Pro,Mixed,,Con,,Con,Mixed,Con
BOOTY CALL,,Con,,,,,,Con
BOTTLE ROCKET,,,,,Pro,,,Pro
BOUND,,Con,,,,,,Mixed
BOYS,,Con,,Con,,,,Con
BOYS LIFE 2,,,,,,,,Pro
BREAKING THE WAVES,,,,Pro,,Pro,,
BREATHING ROOM,,Mixed,,Con,,,,Con
BROKEN ARROW,Mixed,Mixed,Mixed,Mixed,Mixed,,Mixed,Pro
BULLETPROOF,,Con,,Con,,Pro,,Con
BURNT BY THE SUN,Con,,,Pro,,,Mixed,Pro
BUTTERFLY KISS,Pro,,,,,,,Mixed
CANADIAN BACON,,,Con,Con,,,,Con
CARRIED AWAY,,,Con,,,,,Mixed
CARRINGTON,,Con,,Pro,Pro,Con,,Mixed
CASINO,Pro,Mixed,Con,Con,Pro,Pro,,Mixed
CAUGHT,,Pro,,Pro,,,,Pro
CELESTIAL CLOCKWORK,,Pro,,,,,,Mixed
CELTIC PRIDE,Mixed,,Con,,,,Mixed,Con
CHAIN REACTION,Mixed,Con,Con,,,,Mixed,Con
CITIZEN RUTH,,Pro,Con,,,,,Pro
CITY HALL,Mixed,Mixed,Con,Mixed,Pro,,Mixed,Pro
CITY OF INDUSTRY,Con,Con,,,,Con,Mixed,Mixed
CITY OF LOST CHILDREN,Pro,Pro,,,,,,Mixed
CLOCKERS,Pro,,Pro,Con,,Pro,Pro,Pro
COLD COMFORT FARM,Pro,Pro,,Pro,Pro,Pro,Pro,Pro
COPYCAT,Pro,Pro,,Pro,,Pro,Con,Con
COURAGE UNDER FIRE,,Pro,Mixed,Pro,Pro,Pro,,Pro
CRASH,,Con,,Con,,Con,Mixed,Pro
CRY THE BELOVED COUNTRY,,,Pro,Pro,,,,Mixed
CUTTHROAT ISLAND,Pro,Con,Mixed,Con,,Con,Con,Con
DANGEROUS GROUND,,Con,,Con,,,,Con
DANTE'S PEAK,Mixed,Pro,Pro,,Con,Con,Mixed,Con
DAYLIGHT,Mixed,,Mixed,,,Mixed,Mixed,Con
DEAD MAN,Con,,,,,,,Con
