Year,Location,Country,Medals,Previous medals
1932,Lake Placid,United States,12,6
1936,Garmisch-Partenkirchen,Germany,6,2
1948,St. Moritz,Switzerland,10,3
1952,Oslo,Norway,16,10
1956,Cortina D'Ampezzo,Italy,3,2
1960,Sqaw Valley,United States,10,7
1964,Innsbruck,Austria,12,6
1968,Grenoble,France,9,7
1972,Sapporo,Japan,3,0
1976,Innsbruck,Austria,6,5
1980,Lake Placid,United States,12,10
1984,Sarajevo,Yugoslavia,1,0
1988,Calgary,Canada,5,4
1992,Albertville,France,9,2
1994,Lillehammer,Norway,26,20
1998,Nagano,Japan,10,5
