"fid";"count"
31135;737
213689;1585
303067;178
310400;81
428916;811
608415;865
619548;82
900478;203
1000163;852
1208055;850
1221282;280
1246489;73
1710522;186
1800852;2086
1818238;662
1822048;664
1913603;496
2063297;231
2402720;848
2500926;573
2541976;647
2604164;514
2727092;42
2732336;321
2800741;730
3220018;582
3422382;683
3608876;676
3617484;522
4907342;257
4907441;1028
5005991;603
5006853;494
5110130;303
5211532;302
5249362;50
5258426;150
5302558;910
5713651;1357
6016616;1114
6103893;479
6212394;508
6213929;374
6218333;526
6232909;224
6316805;552
6712559;366
6715992;320
6716302;278
7411200;412
7600813;941
7814224;1098
8101249;94
8101612;487
8213123;258
8220737;266
8701423;345
9222638;83
9390597;269
9803584;96
10054266;547
10056160;262
10057450;156
10127264;335
10508703;1688
10620517;301
10722692;1553
11522321;168
11713195;466
12104382;512
12119628;475
12300474;272
12322139;178
12325013;658
12325591;286
12402029;279
12415713;243
12632563;875
12713285;135
12800176;229
13701199;634
13746125;973
13747985;492
13756829;368
14004653;361
14004685;790
14303034;117
15102130;741
15604036;224
15610834;42
15703256;619
15713114;297
15721320;280
16004856;1887
16115451;274
16115983;768
16117285;234
16316772;759
16406562;238
16719291;879
16821021;157
17302328;591
17503374;159
17820929;175
17901275;417
18600691;449
18802512;145
19902730;193
19904384;300
19912471;634
20302345;529
20402661;127
20723788;614
21204974;416
21500764;400
22006651;258
22300739;1263
22807729;883
22907865;1069
23100206;792
23104649;487
23322426;378
23703497;81
23905138;139
24414535;291
25102459;1133
25418068;733
25422606;423
25521666;759
26112638;525
26309397;2037
26310556;204
26607192;1447
26723768;304
27614647;214
28005444;594
28805788;266
29101607;802
29601457;1336
29617316;363
29625448;228
29628281;574
30201869;559
30603192;546
31100273;467
31208052;602
31706515;649
32801596;461
33014467;1551
33310529;355
34104426;828
35401961;451
36405265;965
36502933;447
37503740;566
37618279;690
38209358;239
39112044;247
40503058;1062
41902204;1054
42113183;87
42403067;388
42409488;94
42420807;304
43101955;264
43606134;769
43907279;4
44101636;276
45011297;258
45100282;463
46304599;625
47402146;919
47601309;731
48601952;373
48608707;59
50500107;205
50503404;233
50506078;608
50611037;648
51301302;420
51700081;386
51902474;311
53203545;693
53205082;441
54700284;114
54901426;242
55500715;618
55903032;422
57803406;226
57902073;177
58215774;588
60300286;387
60713223;378
60713388;555
60714415;133
60800462;494
61601811;267
65300106;95
66805670;435
69208923;485
69703707;607
70606716;602
70805905;237
71105870;307
71109104;520
72207769;204
72301114;166
72500957;537
73408432;325
75000774;854
75302153;208
77900734;1329
77902344;789
79200967;496
79302004;568
79302334;844
80001702;1500
81010575;782
83501850;386
84300073;509
92900055;152
93405026;105
96600159;520
98400852;63
99800026;223
100700669;1034
101700819;646
112600188;446
118401880;316
134900559;1069
135200028;230
138900027;272
143700154;287
145800092;474
148400203;572
150100685;329
152000772;109
153500733;784
160500621;155
161500119;804
163400883;548
163901822;757
164500211;348
164901678;522
168901525;526
176203602;842
178900344;321
180000571;823
188600048;600
193307274;240
194602263;299
195400099;299
196002157;1756
