"fid";"count"
476;5
3607;77
5081;261
6709;103
11316;21
11674;2
13901;91
21695;39
100767;2
103827;1
107521;72
113919;2
122728;72
200107;92
202082;269
204416;1
204421;578
207427;332
207472;7
207614;45
211763;11
215718;33
217127;72
224939;8
302202;26
310151;204
310400;87
404251;8
405521;275
414453;52
415253;164
420301;37
421614;59
428916;61
429646;1
432631;185
506006;15
600371;107
601059;26
603220;36
603983;16
604348;214
607945;287
608415;128
614264;1
616285;3
618604;1
625423;2
701618;36
702996;4
705473;5
805708;43
807928;42
809844;5
811456;6
815324;8
822656;149
826024;42
828848;278
829974;231
834759;9
842836;45
900478;58
902165;38
904679;69
911389;1
914369;60
919598;22
920228;13
923186;11
925128;2
932185;68
934060;42
934430;21
935431;70
1002488;5
1013721;90
1100232;4
1100938;10
1101150;171
1102135;21
1107755;7
1111439;33
1202721;27
1203391;10
1203606;49
1204216;195
1204683;66
1205120;8
1207032;185
1208055;3
1208820;2
1210446;28
1217641;85
1218134;32
1219801;6
1221282;140
1221396;5
1224460;12
1224545;166
1226511;1
1227200;176
1228664;10
1228743;51
1229062;6
1232921;1
1233060;16
1234481;42
1235830;85
1237923;90
1238094;16
1239169;1
1239673;224
1239903;19
1241386;19
1242571;11
1242789;83
1244334;57
1246489;26
1301989;53
1302663;114
1305151;3
1309969;11
1310404;51
1317302;57
1317548;50
1410408;67
1410966;4
1415550;14
1501375;76
1502790;138
1502874;2
1508817;143
1509239;2
1515199;22
1526263;24
1526490;8
1602207;5
1609949;78
1613805;4
1615029;3
1617681;158
1619523;47
1620935;33
1701766;2
1704153;23
1705619;3
1710522;8
1800852;6
1803548;47
1804864;35
1805387;31
1809995;348
1813963;59
1818238;5
1822048;18
1822100;62
1823212;106
1900167;8
1905345;36
1906994;55
1908582;2
1909578;3
1910833;5
1911332;22
1915762;39
1928428;3
1930432;139
1931864;112
1932244;1
1934989;9
1939605;181
1940397;4
1948513;15
1951052;165
1952613;153
1952935;22
1953322;48
1955782;3
2004103;3
2005132;48
2005681;100
2006339;106
2008238;270
2012720;5
2015635;20
2019458;90
2036315;237
2037306;5
2039097;80
2041686;32
2041722;6
2042418;2
2050773;25
2055419;6
2061158;99
2063297;173
2064244;7
2204405;538
2205144;50
2205468;10
2216364;32
2218892;5
2230271;1148
2231124;3
2232769;2
2232976;6
2233489;19
2235033;15
2236165;70
2239464;105
2240542;80
2254707;10
2257697;32
2258605;4
2300310;23
2302434;1
2303702;18
2305669;108
2306041;49
2306468;42
2307819;5
2307885;17
2309700;93
2311323;10
2314221;244
2315918;18
2316363;42
2326009;1
2328532;2
2336675;470
2337854;10
2355106;6
2355924;185
2357877;33
2358399;29
2359687;80
2360494;3
2361361;79
2363939;55
2402720;26
2410995;29
2416947;120
2419571;5
2420050;69
2500098;1
2500443;345
2500926;6
2501114;23
2502776;24
2504856;21
2505201;104
2505632;82
2507494;73
2507506;7
2509939;119
2511860;2
2512135;77
2513217;28
2515885;2
2527059;5
2528023;58
2528254;12
2530794;16
2535433;5
2536242;2
2537793;65
2539312;19
2540304;109
2540423;269
2541076;62
2541976;16
2602767;93
2602891;2
2605802;36
2607751;31
2607807;2
2611956;7
2612036;25
2613526;5
2613893;7
2703791;44
2704526;23
2708115;44
2732336;1
2734788;7
2800741;21
2800751;82
2802155;32
2802474;47
2808287;52
2809644;10
2812258;38
2907773;1
3003385;5
3004271;44
3005018;20
3005968;45
3100547;714
3100756;32
3104304;2
3105190;1
3107468;26
3107933;21
3107959;24
3200096;80
3200118;93
3200829;1
3201091;15
3202434;6
3202771;1
3203361;132
3205406;116
3205772;17
3215205;2
3216403;46
3218248;2
3220018;34
3227063;76
3230928;12
3231373;70
3231787;99
3231840;143
3300545;10
3300970;1
3301022;9
3301679;1137
3303455;75
3304212;158
3304421;48
3304495;3
3307156;10
3311062;7
3311531;7
3311612;8
3312753;58
3315649;1
3316018;22
3316452;2
3317440;50
3325286;5
3325835;6
3326806;2
3329874;61
3400565;128
3401433;8
3403787;21
3404512;5
3407553;3
3414549;170
3418719;9
3422382;5
3423965;151
3425449;174
3428586;39
3428836;61
3432223;35
3432415;78
3432713;37
3432980;53
3433990;79
3500126;3
3600025;6
3600598;2
3601187;15
3603248;224
3604583;18
3605396;104
3605653;13
3607488;126
3608876;15
3614895;1
3617886;12
3617888;110
3618251;1
3619357;382
3620581;291
3622802;3
3622906;144
3626385;117
3701201;2
3702151;1
3702210;69
3702575;11
3707493;56
3707564;146
3801070;56
3802103;2
3803896;29
3805565;84
3904462;53
4001894;1
4200133;6
4502354;5
4701404;107
4706536;12
4707621;62
4708393;68
4708703;57
4712329;9
4712866;16
4713160;296
4713403;5
4802432;9
4803268;6
