Mood,Activity,Company,Situation,Thinking,Public,Time
Impatient,1,1,1,1,1,1
Concentrating,2,2,1,1,1,1
Puzzeled,2,3,1,1,1,1
Pleased,2,3,1,1,1,2
Tired,3,4,1,2,2,3
Refreshed,4,2,1,2,1,4
Puzzeled,5,2,1,3,2,4
Peaceful,6,5,1,4,1,5
Interested,7,2,2,5,1,5
Amused,8,3,1,6,1,6
Hungry,1,5,1,7,3,7
Amused,8,3,1,8,2,7
Interested,9,3,1,1,3,7
Bored,9,2,2,1,3,8
Entertained,10,3,1,9,1,9
Optimistic,11,2,1,4,2,10
Sleepy,12,2,1,10,3,10
Interested,13,6,3,11,4,11
Focused,14,2,4,4,3,11
Mad,14,2,4,4,1,12
Tired,14,7,4,4,1,13
Excited,7,2,4,12,3,14
Hungry,8,2,4,4,3,15
Impatient,1,1,1,1,1,1
Concentrating,2,2,1,1,1,1
Puzzeled,2,3,1,1,1,1
Pleased,2,3,1,1,1,2
Tired,3,4,1,2,2,3
Refreshed,4,2,1,2,1,4
Puzzeled,5,2,1,3,2,4
Peaceful,6,5,1,4,1,5
Interested,7,2,2,5,1,5
Amused,8,3,1,6,1,6
Hungry,1,5,1,7,3,7
Amused,8,3,1,8,2,7
Interested,9,3,1,1,3,7
Bored,9,2,2,1,3,8
Entertained,10,3,1,9,1,9
Optimistic,11,2,1,4,2,10
Sleepy,12,2,1,10,3,10
Interested,13,6,3,11,4,11
Focused,14,2,4,4,3,11
Mad,14,2,4,4,1,12
Tired,14,7,4,4,1,13
Excited,7,2,4,12,3,14
Hungry,8,2,4,4,3,15
Impatient,1,1,1,1,1,1
Concentrating,2,2,1,1,1,1
Puzzeled,2,3,1,1,1,1
Pleased,2,3,1,1,1,2
Tired,3,4,1,2,2,3
Refreshed,4,2,1,2,1,4
Puzzeled,5,2,1,3,2,4
Peaceful,6,5,1,4,1,5
Interested,7,2,2,5,1,5
Amused,8,3,1,6,1,6
Hungry,1,5,1,7,3,7
Amused,8,3,1,8,2,7
Interested,9,3,1,1,3,7
Bored,9,2,2,1,3,8
Entertained,10,3,1,9,1,9
Optimistic,11,2,1,4,2,10
Sleepy,12,2,1,10,3,10
Interested,13,6,3,11,4,11
Focused,14,2,4,4,3,11
Mad,14,2,4,4,1,12
Tired,14,7,4,4,1,13
Excited,7,2,4,12,3,14
Hungry,8,2,4,4,3,15
Impatient,1,1,1,1,1,1
Concentrating,2,2,1,1,1,1
Puzzeled,2,3,1,1,1,1
Pleased,2,3,1,1,1,2
Tired,3,4,1,2,2,3
Refreshed,4,2,1,2,1,4
Puzzeled,5,2,1,3,2,4
Peaceful,6,5,1,4,1,5
Interested,7,2,2,5,1,5
Amused,8,3,1,6,1,6
Hungry,1,5,1,7,3,7
Amused,8,3,1,8,2,7
Interested,9,3,1,1,3,7
Bored,9,2,2,1,3,8
Entertained,10,3,1,9,1,9
Optimistic,11,2,1,4,2,10
Sleepy,12,2,1,10,3,10
Interested,13,6,3,11,4,11
Focused,14,2,4,4,3,11
Mad,14,2,4,4,1,12
Tired,14,7,4,4,1,13
Excited,7,2,4,12,3,14
Hungry,8,2,4,4,3,15
